"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","high","low"
"2","low","high","high","high","high",NA,"high","high","high","high",NA,"high","high","med","low"
"3","med","high","high","med","med",NA,"high","high","high","high",NA,NA,"high","med","low"
"4","med","high","high","high","med",NA,"high","high","high","med",NA,NA,"high","med","low"
"5","low","high","high","high","high",NA,"high","high","high","med",NA,NA,"high","med","low"
"6","med","high","high","high","med",NA,"high",NA,"high","high","high","high","high","med","low"
"7","low","high","high","high","med",NA,"high",NA,"high","high",NA,"high","high","high","low"
"8","high","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","low"
"9","high","high","high","high","low",NA,"high","high","high","high",NA,NA,"high","med","low"
"10","high","high","high","high","high",NA,"high","high","high","high",NA,"high","high","med","low"
"11","low","high","high","high","high",NA,"high","high","high","med",NA,NA,"high","med","low"
"12","low","high","high","high","high",NA,"high","high","high","high",NA,"high","high","med","low"
"13","high","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","high","low"
"14","med","high","high","high","high",NA,"high","high","high","high",NA,NA,"high","med","low"
"15","med","high","high","high","high",NA,"high","high","high","med",NA,NA,"high","med","med"
"16","high","high","high","high","med",NA,"high","high","high","high",NA,"high","high","high","low"
"17","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","med"
"18","med","high","high","high","high",NA,"high",NA,"high","high",NA,NA,"high","med","low"
"19","low","high","high","high","med",NA,"high",NA,"high","high",NA,"high","high","med","low"
"20","low","high","high","high","med",NA,"high","high","high","high",NA,"high","high","high","low"
"21","high","high","high","high","med",NA,"high","high","high","med",NA,"high","high","med","low"
"22","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","high"
"23","med","high","high","med","high",NA,"high","high","high","high",NA,NA,"high","med","high"
"24","low","high","high","high","high",NA,"high","high","high","high",NA,NA,"high","high","low"
"25","med","high","high","high","med",NA,"high","high","high","med",NA,NA,"high","med","low"
"26","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","med"
"27","low","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","low"
"28","low","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","high","med"
"29","med","high","high","high","med",NA,"high",NA,"high","high",NA,"high","high","high","high"
"30","low","high","high","high","high",NA,"high","high","high","med",NA,NA,"high","high","med"
"31","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","high","low"
"32","med","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","med","low"
"33","low","high","high","high","med",NA,"high","high","high","med",NA,NA,"high","high","low"
"34","med","high","high","high","high",NA,"high","high","high","high",NA,NA,"high","high","low"
"35","high","high","high","high","med",NA,"high","high","high","high",NA,NA,"high","high","low"
"36","med","high","high","high","med",NA,"high","high","high","high",NA,"high","high","high","low"
