#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	STREAMFLOW 11483400: Gerber Reservoir Inflow, OR
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                           
# Stream Volume, Adjusted  Value       None           Month              N/A        Acre feet          N/A           SRVO          Streamflow volume adjusted for significant human regulation where data are available  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Gerber Reservoir Inflow (11483400) 
# Oregon  STREAMFLOW Site - 4835 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Aug 3, 2018 8:27:29 AM GMT-08:00
#
Date,"Gerber Reservoir Inflow (11483400) Stream Volume, Adjusted (ac_ft)"
Oct 1960,10
Nov 1960,150
Dec 1960,2420
Jan 1961,1210
Feb 1961,8250
Mar 1961,7580
Apr 1961,2850
May 1961,610
Jun 1961,380
Jul 1961,0
Aug 1961,40
Sep 1961,40
Oct 1961,30
Nov 1961,210
Dec 1961,860
Jan 1962,230
Feb 1962,4630
Mar 1962,9080
Apr 1962,25610
May 1962,990
Jun 1962,100
Jul 1962,40
Aug 1962,40
Sep 1962,40
Oct 1962,13900
Nov 1962,1900
Dec 1962,9060
Jan 1963,1170
Feb 1963,14130
Mar 1963,4390
Apr 1963,19420
May 1963,6600
Jun 1963,440
Jul 1963,50
Aug 1963,50
Sep 1963,140
Oct 1963,220
Nov 1963,1030
Dec 1963,490
Jan 1964,1470
Feb 1964,320
Mar 1964,2270
Apr 1964,29110
May 1964,1460
Jun 1964,3560
Jul 1964,880
Aug 1964,30
Sep 1964,30
Oct 1964,80
Nov 1964,990
Dec 1964,46230
Jan 1965,16830
Feb 1965,14860
Mar 1965,10330
Apr 1965,9240
May 1965,1060
Jun 1965,1720
Jul 1965,400
Aug 1965,230
Sep 1965,30
Oct 1965,50
Nov 1965,750
Dec 1965,420
Jan 1966,1140
Feb 1966,380
Mar 1966,16850
Apr 1966,6350
May 1966,710
Jun 1966,270
Jul 1966,150
Aug 1966,120
Sep 1966,80
Oct 1966,60
Nov 1966,1770
Dec 1966,7060
Jan 1967,3200
Feb 1967,7160
Mar 1967,15500
Apr 1967,12700
May 1967,13440
Jun 1967,1410
Jul 1967,400
Aug 1967,200
Sep 1967,100
Oct 1967,330
Nov 1967,190
Dec 1967,650
Jan 1968,990
Feb 1968,15310
Mar 1968,1450
Apr 1968,720
May 1968,1400
Jun 1968,290
Jul 1968,50
Aug 1968,680
Sep 1968,160
Oct 1968,220
Nov 1968,1290
Dec 1968,3820
Jan 1969,5950
Feb 1969,5280
Mar 1969,17210
Apr 1969,44500
May 1969,3520
Jun 1969,1100
Jul 1969,380
Aug 1969,100
Sep 1969,310
Oct 1969,500
Nov 1969,630
Dec 1969,8880
Jan 1970,36610
Feb 1970,11150
Mar 1970,11700
Apr 1970,1340
May 1970,980
Jun 1970,300
Jul 1970,200
Aug 1970,100
Sep 1970,150
Oct 1970,420
Nov 1970,4890
Dec 1970,7640
Jan 1971,13990
Feb 1971,7460
Mar 1971,20610
Apr 1971,27680
May 1971,6880
Jun 1971,1640
Jul 1971,360
Aug 1971,30
Sep 1971,300
Oct 1971,250
Nov 1971,910
Dec 1971,1170
Jan 1972,6300
Feb 1972,23100
Mar 1972,42790
Apr 1972,6410
May 1972,1660
Jun 1972,790
Jul 1972,180
Aug 1972,0
Sep 1972,240
Oct 1972,540
Nov 1972,930
Dec 1972,4980
Jan 1973,3450
Feb 1973,5190
Mar 1973,9470
Apr 1973,5930
May 1973,1320
Jun 1973,350
Jul 1973,100
Aug 1973,20
Sep 1973,250
