Date,Year,Value
Aug,1920,14100
Sep,1920,14500
Oct,1920,18000
Nov,1920,
Dec,1920,
Jan,1921,
Feb,1921,
Mar,1921,102791
Apr,1921,76086
May,1921,95345
Jun,1921,51842
Jul,1921,19880
Aug,1921,15445
Sep,1921,15295
Oct,1921,16788
Nov,1921,17256
Dec,1921,17659
Jan,1922,14118
Feb,1922,12468
Mar,1922,23258
Apr,1922,77098
May,1922,122162
Jun,1922,40671
Jul,1922,17752
Aug,1922,16629
Sep,1922,13658
Oct,1922,17296
Nov,1922,17375
Dec,1922,18629
Jan,1923,20448
Feb,1923,15965
Mar,1923,31728
Apr,1923,48793
May,1923,35050
Jun,1923,23143
Jul,1923,18155
Aug,1923,15630
Sep,1923,13160
Oct,1923,15784
Nov,1923,16052
Dec,1923,17274
Jan,1924,17173
Feb,1924,25640
Mar,1924,17728
Apr,1924,17732
May,1924,13105
Jun,1924,10397
Jul,1924,12379
Aug,1924,11885
Sep,1924,12121
Oct,1924,14805
Nov,1924,16040
Dec,1924,14402
Jan,1925,20916
Feb,1925,49676
Mar,1925,37250
Apr,1925,67934
May,1925,70731
Jun,1925,38567
Jul,1925,16493
Aug,1925,15693
Sep,1925,13934
Oct,1925,18097
Nov,1925,18186
Dec,1925,18518
Jan,1926,16782
Feb,1926,24686
Mar,1926,20878
Apr,1926,22082
May,1926,15356
Jun,1926,10711
Jul,1926,12095
Aug,1926,10203
Sep,1926,11189
Oct,1926,14420
Nov,1926,17712
Dec,1926,42593
Jan,1927,31571
Feb,1927,36422
Mar,1927,85170
Apr,1927,116509
May,1927,121349
Jun,1927,54339
Jul,1927,20789
Aug,1927,16764
Sep,1927,14531
Oct,1927,16810
Nov,1927,22731
Dec,1927,22374
Jan,1928,22403
Feb,1928,27322
Mar,1928,64939
Apr,1928,67884
May,1928,64780
Jun,1928,20297
Jul,1928,16612
Aug,1928,13708
Sep,1928,13454
Oct,1928,15679
Nov,1928,17236
Dec,1928,16528
Jan,1929,15917
Feb,1929,18952
Mar,1929,29147
Apr,1929,23831
May,1929,29702
Jun,1929,26717
Jul,1929,12234
Aug,1929,11921
Sep,1929,12543
Oct,1929,15265
Nov,1929,14340
Dec,1929,23492
Jan,1930,16136
Feb,1930,34306
Mar,1930,28243
Apr,1930,30827
May,1930,23748
Jun,1930,11782
Jul,1930,11441
Aug,1930,12347
Sep,1930,12379
Oct,1930,13803
Nov,1930,14037
Dec,1930,14616
Jan,1931,14584
Feb,1931,13864
Mar,1931,18702
Apr,1931,17820
May,1931,12202
Jun,1931,10251
Jul,1931,9374
Aug,1931,9447
Sep,1931,10856
Oct,1931,12571
Nov,1931,13067
Dec,1931,13373
Jan,1932,14372
Feb,1932,13813
Mar,1932,56009
Apr,1932,37870
May,1932,65167
Jun,1932,25862
Jul,1932,12155
Aug,1932,9987
Sep,1932,10564
Oct,1932,11792
Nov,1932,13047
Dec,1932,13214
Jan,1933,14463
Feb,1933,12369
Mar,1933,24254
Apr,1933,38624
May,1933,33239
Jun,1933,36395
Jul,1933,13741
Aug,1933,10469
Sep,1933,10356
Oct,1933,11246
Nov,1933,14830
Dec,1933,15584
Jan,1934,22606
Feb,1934,17381
Mar,1934,21544
Apr,1934,23714
May,1934,11332
Jun,1934,10074
Jul,1934,10665
Aug,1934,7987
Sep,1934,8358
Oct,1934,11883
Nov,1934,13964
Dec,1934,14400
Jan,1935,14541
Feb,1935,17282
Mar,1935,25765
Apr,1935,76110
May,1935,60839
Jun,1935,23607
Jul,1935,11601
Aug,1935,11576
Sep,1935,9882
Oct,1935,13355
Nov,1935,13480
Dec,1935,14598
Jan,1936,22834
Feb,1936,31178
Mar,1936,50634
Apr,1936,77891
May,1936,74610
Jun,1936,26787
Jul,1936,12282
Aug,1936,11403
Sep,1936,10330
Oct,1936,12194
Nov,1936,13184
Dec,1936,13624
Jan,1937,12056
Feb,1937,12857
Mar,1937,32537
Apr,1937,58366
May,1937,42845
Jun,1937,24502
Jul,1937,13791
Aug,1937,10869
Sep,1937,10814
Oct,1937,14132
Nov,1937,17157
Dec,1937,37283
Jan,1938,25202
Feb,1938,22120
Mar,1938,72315
Apr,1938,197292
May,1938,154096
Jun,1938,44860
Jul,1938,17613
Aug,1938,14245
Sep,1938,13434
Oct,1938,16441
Nov,1938,18268
Dec,1938,19240
Jan,1939,17389
Feb,1939,16193
Mar,1939,38902
Apr,1939,38091
May,1939,16582
Jun,1939,10378
Jul,1939,10149
Aug,1939,9677
Sep,1939,10883
Oct,1939,13696
Nov,1939,13537
Dec,1939,17958
Jan,1940,32561
Feb,1940,39348
Mar,1940,84206
Apr,1940,117183
May,1940,49930
Jun,1940,15888
Jul,1940,12192
Aug,1940,10806
Sep,1940,11942
Oct,1940,15568
Nov,1940,16225
Dec,1940,19111
Jan,1941,21425
Feb,1941,32793
Mar,1941,54040
Apr,1941,36678
May,1941,44666
Jun,1941,24218
Jul,1941,13827
Aug,1941,12061
Sep,1941,13636
Oct,1941,14731
Nov,1941,18268
Dec,1941,36504
Jan,1942,30530
Feb,1942,50007
Mar,1942,43246
Apr,1942,86936
May,1942,65964
Jun,1942,49196
Jul,1942,16967
Aug,1942,13135
Sep,1942,13496
Oct,1942,15223
Nov,1942,20858
Dec,1942,33354
Jan,1943,33911
Feb,1943,30417
Mar,1943,126391
Apr,1943,223755
May,1943,117421
Jun,1943,62461
Jul,1943,23554
Aug,1943,16943
Sep,1943,16489
Oct,1943,18145
Nov,1943,19789
Dec,1943,19686
Jan,1944,19115
Feb,1944,21669
Mar,1944,29643
Apr,1944,25210
May,1944,24928
Jun,1944,34322
Jul,1944,19918
Aug,1944,15588
Sep,1944,13700
Oct,1944,16449
Nov,1944,19601
Dec,1944,21590
Jan,1945,24928
Feb,1945,42028
Mar,1945,28625
Apr,1945,37787
May,1945,75993
Jun,1945,49008
Jul,1945,16848
Aug,1945,13845
Sep,1945,13605
Oct,1945,17048
Nov,1945,20515
Dec,1945,26634
Jan,1946,38642
Feb,1946,22383
Mar,1946,66510
Apr,1946,100899
May,1946,91948
Jun,1946,26906
Jul,1946,15731
Aug,1946,13168
Sep,1946,13283
Oct,1946,16766
Nov,1946,18873
Dec,1946,20797
Jan,1947,18922
Feb,1947,24296
Mar,1947,23625
Apr,1947,29288
May,1947,21747
Jun,1947,18325
Jul,1947,12845
Aug,1947,11665
Sep,1947,11631
Oct,1947,16629
Nov,1947,16814
Dec,1947,16994
Jan,1948,27404
Feb,1948,18750
Mar,1948,21761
Apr,1948,50586
May,1948,71147
Jun,1948,69310
Jul,1948,18956
Aug,1948,14656
Sep,1948,15191
Oct,1948,16096
Nov,1948,17230
Dec,1948,18524
Jan,1949,16300
Feb,1949,21449
Mar,1949,45384
Apr,1949,59391
May,1949,62333
Jun,1949,26698
Jul,1949,11550
Aug,1949,11407
Sep,1949,12629
Oct,1949,15299
Nov,1949,15767
Dec,1949,15832
Jan,1950,19527
Feb,1950,27937
Mar,1950,51941
Apr,1950,62091
May,1950,66268
Jun,1950,40106
Jul,1950,14404
Aug,1950,11734
Sep,1950,12694
Oct,1950,17986
Nov,1950,24379
Dec,1950,57457
Jan,1951,28903
Feb,1951,66528
Mar,1951,62261
Apr,1951,120238
May,1951,90871
Jun,1951,29871
Jul,1951,14108
Aug,1951,12785
Sep,1951,14376
Oct,1951,19628
Nov,1951,20961
Dec,1951,28473
Jan,1952,24714
Feb,1952,41256
Mar,1952,49999
Apr,1952,244046
May,1952,178076
Jun,1952,70203
Jul,1952,33905
Aug,1952,18452
Sep,1952,16911
Oct,1952,19835
Nov,1952,20636
Dec,1952,21481
Jan,1953,69648
Feb,1953,59060
Mar,1953,52336
Apr,1953,88126
May,1953,133567
Jun,1953,100310
Jul,1953,33606
Aug,1953,18532
Sep,1953,20331
Oct,1953,24073
Nov,1953,31226
Dec,1953,35603
Jan,1954,29054
Feb,1954,46994
Mar,1954,87921
Apr,1954,161474
May,1954,105150
Jun,1954,39068
Jul,1954,20684
Aug,1954,16072
Sep,1954,18651
Oct,1954,22106
Nov,1954,24198
Dec,1954,23609
Jan,1955,22360
Feb,1955,21172
Mar,1955,29502
Apr,1955,41982
May,1955,41484
Jun,1955,25628
Jul,1955,16506
Aug,1955,14382
Sep,1955,15088
Oct,1955,19012
Nov,1955,21967
Dec,1955,84163
Jan,1956,116594
Feb,1956,49379
Mar,1956,100358
Apr,1956,252893
May,1956,197435
Jun,1956,91210
Jul,1956,32225
Aug,1956,24881
Sep,1956,22284
Oct,1956,27172
Nov,1956,28306
Dec,1956,29189
Jan,1957,23002
Feb,1957,42415
Mar,1957,105124
Apr,1957,71615
May,1957,92965
Jun,1957,41211
Jul,1957,21527
Aug,1957,17516
Sep,1957,19204
Oct,1957,32237
Nov,1957,33356
Dec,1957,37323
Jan,1958,37468
Feb,1958,151021
Mar,1958,109190
Apr,1958,122916
May,1958,146717
Jun,1958,66446
Jul,1958,33919
Aug,1958,23639
Sep,1958,22274
Oct,1958,23702
Nov,1958,25307
Dec,1958,27941
Jan,1959,30091
Feb,1959,26715
Mar,1959,34340
Apr,1959,36395
May,1959,31525
Jun,1959,19174
Jul,1959,16526
Aug,1959,16141
Sep,1959,17417
Oct,1959,21332
Nov,1959,20241
Dec,1959,19896
Jan,1960,20975
Feb,1960,28451
Mar,1960,38731
Apr,1960,40552
May,1960,42280
Jun,1960,29197
Jul,1960,17326
Aug,1960,14914
Sep,1960,15078
Oct,1960,17647
Nov,1960,19186
Dec,1960,23290
Jan,1961,20192
Feb,1961,35445
Mar,1961,33743
Apr,1961,38737
May,1961,38908
Jun,1961,31436
Jul,1961,14299
Aug,1961,12954
Sep,1961,14680
Oct,1961,18276
Nov,1961,18643
Dec,1961,21820
Jan,1962,18008
Feb,1962,32013
Mar,1962,31525
Apr,1962,85388
May,1962,50184
Jun,1962,23078
Jul,1962,13287
Aug,1962,12597
Sep,1962,12730
Oct,1962,52132
Nov,1962,30319
Dec,1962,54666
Jan,1963,25761
Feb,1963,71558
Mar,1963,40044
Apr,1963,93386
May,1963,98618
Jun,1963,39090
Jul,1963,24417
Aug,1963,16110
Sep,1963,14904
Oct,1963,18530
Nov,1963,23316
Dec,1963,21997
Jan,1964,22445
Feb,1964,18968
Mar,1964,29534
Apr,1964,80182
May,1964,52524
Jun,1964,41492
Jul,1964,18359
Aug,1964,14073
Sep,1964,13999
Oct,1964,17633
Nov,1964,19747
Dec,1964,175434
Jan,1965,120575
Feb,1965,107464
Mar,1965,59619
Apr,1965,71278
May,1965,90631
Jun,1965,42335
Jul,1965,24657
Aug,1965,18897
Sep,1965,17788
Oct,1965,20479
Nov,1965,21999
Dec,1965,22502
Jan,1966,22084
Feb,1966,19349
Mar,1966,46028
Apr,1966,68503
May,1966,34522
Jun,1966,20642
Jul,1966,14041
Aug,1966,11572
Sep,1966,13696
Oct,1966,17361
Nov,1966,20170
Dec,1966,34205
Jan,1967,23578
Feb,1967,36791
Mar,1967,56170
Apr,1967,65603
May,1967,143236
Jun,1967,85059
Jul,1967,21616
Aug,1967,13307
Sep,1967,13769
Oct,1967,19224
Nov,1967,19632
Dec,1967,18760
Jan,1968,20961
Feb,1968,50007
Mar,1968,35982
Apr,1968,25995
May,1968,23433
Jun,1968,16374
Jul,1968,10548
Aug,1968,14166
Sep,1968,13406
Oct,1968,17199
Nov,1968,21041
Dec,1968,23740
Jan,1969,26009
Feb,1969,30674
Mar,1969,50521
Apr,1969,159134
May,1969,111412
Jun,1969,41316
Jul,1969,19148
Aug,1969,13585
Sep,1969,14505
Oct,1969,20172
Nov,1969,19628
Dec,1969,33939
Jan,1970,111302
Feb,1970,71530
Mar,1970,68400
Apr,1970,45098
May,1970,55827
Jun,1970,33396
Jul,1970,18230
Aug,1970,14416
Sep,1970,15896
Oct,1970,18946
Nov,1970,26608
Dec,1970,38485
Jan,1971,62822
Feb,1971,50339
Mar,1971,78248
Apr,1971,131425
May,1971,139617
Jun,1971,75178
Jul,1971,27949
Aug,1971,16419
Sep,1971,16822
Oct,1971,22255
Nov,1971,23944
Dec,1971,24823
Jan,1972,37976
Feb,1972,40875
Mar,1972,178552
Apr,1972,81957
May,1972,80104
Jun,1972,34560
Jul,1972,17859
Aug,1972,14434
Sep,1972,16614
Oct,1972,20826
Nov,1972,21459
Dec,1972,25224
Jan,1973,30153
Feb,1973,24488
Mar,1973,30256
Apr,1973,31057
May,1973,39850
Jun,1973,17992
Jul,1973,12163
Aug,1973,12107
Sep,1973,13946
Oct,1973,18434
Nov,1973,46969
Dec,1973,65474
Jan,1974,103188
Feb,1974,41897
Mar,1974,96795
Apr,1974,146559
May,1974,107107
Jun,1974,51584
Jul,1974,22685
Aug,1974,17256
Sep,1974,15909
Oct,1974,20327
Nov,1974,22356
Dec,1974,24230
Jan,1975,22973
Feb,1975,25101
Mar,1975,59556
Apr,1975,64784
May,1975,120278
Jun,1975,62331
Jul,1975,25983
Aug,1975,17429
Sep,1975,16243
Oct,1975,21090
Nov,1975,22167
Dec,1975,24990
Jan,1976,22992
Feb,1976,22790
Mar,1976,41675
Apr,1976,50731
May,1976,54847
Jun,1976,24432
Jul,1976,17145
Aug,1976,18256
Sep,1976,15439
Oct,1976,18089
Nov,1976,18365
Dec,1976,18984
Jan,1977,17746
Feb,1977,18067
Mar,1977,19874
Apr,1977,15658
May,1977,17720
Jun,1977,14507
Jul,1977,9215
Aug,1977,9602
Sep,1977,13109
Oct,1977,17004
Nov,1977,19571
Dec,1977,40657
Jan,1978,67375
Feb,1978,43847
Mar,1978,76138
Apr,1978,102526
May,1978,78292
Jun,1978,33600
Jul,1978,19898
Aug,1978,12143
Sep,1978,15842
Oct,1978,16278
Nov,1978,16580
Dec,1978,18276
Jan,1979,22568
Feb,1979,21693
Mar,1979,37962
Apr,1979,29369
May,1979,47252
Jun,1979,18748
Jul,1979,9939
