#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	STREAMFLOW 11502500: Williamson R bl Sprague R nr Chiloquin, OR
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                           
# Stream Volume, Adjusted  Value       None           Month              N/A        Acre feet          N/A           SRVO          Streamflow volume adjusted for significant human regulation where data are available  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Williamson R Bl Sprague R Nr Chiloquin (11502500) 
# Oregon  STREAMFLOW Site - 4149 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Aug 3, 2018 8:26:56 AM GMT-08:00
#
Date,"Williamson R bl Sprague R nr Chiloquin (11502500) Stream Volume, Adjusted (ac_ft)"
Jul 1917,54700
Aug 1917,47900
Sep 1917,44200
Oct 1917,48198
Nov 1917,48714
Dec 1917,65792
Jan 1918,65950
Feb 1918,61686
Mar 1918,82354
Apr 1918,81441
May 1918,57471
Jun 1918,40169
Jul 1918,36960
Aug 1918,38705
Sep 1918,40838
Oct 1918,45138
Nov 1918,47683
Dec 1918,49845
Jan 1919,53355
Feb 1919,51590
Mar 1919,60516
Apr 1919,153322
May 1919,97507
Jun 1919,44325
Jul 1919,38231
Aug 1919,37619
Sep 1919,38331
Oct 1919,42224
Nov 1919,42450
Dec 1919,37361
Jan 1920,38485
Feb 1920,51812
Mar 1920,64318
Apr 1920,63041
May 1920,51985
Jun 1920,37662
Jul 1920,30918
Aug 1920,33257
Sep 1920,31989
Oct 1920,34596
Nov 1920,44287
Dec 1920,48462
Jan 1921,54748
Feb 1921,56025
Mar 1921,167306
Apr 1921,125752
May 1921,127220
Jun 1921,80684
Jul 1921,41516
Aug 1921,34731
Sep 1921,33812
Oct 1921,35353
Nov 1921,38150
Dec 1921,48434
Jan 1922,39300
Feb 1922,31656
Mar 1922,45382
Apr 1922,139815
May 1922,166691
Jun 1922,65187
Jul 1922,34717
Aug 1922,37684
Sep 1922,36545
Oct 1922,
Nov 1922,
Dec 1922,
Jan 1923,
Feb 1923,
Mar 1923,
Apr 1923,
May 1923,
Jun 1923,
Jul 1923,
Aug 1923,
Sep 1923,33259
Oct 1923,37400
Nov 1923,38138
Dec 1923,41810
Jan 1924,39126
Feb 1924,63640
Mar 1924,51465
Apr 1924,42883
May 1924,33648
Jun 1924,27999
Jul 1924,30373
Aug 1924,30950
Sep 1924,31672
Oct 1924,34225
Nov 1924,40616
Dec 1924,41423
Jan 1925,46050
Feb 1925,108813
Mar 1925,79319
Apr 1925,96298
May 1925,97269
Jun 1925,65931
Jul 1925,38898
Aug 1925,38461
Sep 1925,35845
Oct 1925,38122
Nov 1925,38571
Dec 1925,40875
Jan 1926,38426
Feb 1926,56301
Mar 1926,52102
Apr 1926,44799
May 1926,34973
Jun 1926,29401
Jul 1926,31918
Aug 1926,31611
Sep 1926,31198
Oct 1926,36599
Nov 1926,41177
Dec 1926,70659
Jan 1927,58586
Feb 1927,62154
Mar 1927,135431
Apr 1927,153858
May 1927,159511
Jun 1927,79176
Jul 1927,43375
Aug 1927,37180
Sep 1927,36657
Oct 1927,38997
Nov 1927,44204
Dec 1927,45717
Jan 1928,46235
Feb 1928,56358
Mar 1928,115537
Apr 1928,113435
May 1928,87626
Jun 1928,39693
Jul 1928,37900
Aug 1928,33836
Sep 1928,32900
Oct 1928,38108
Nov 1928,38898
Dec 1928,38559
Jan 1929,38083
Feb 1929,40861
Mar 1929,62382
Apr 1929,53423
May 1929,51481
Jun 1929,46413
Jul 1929,31950
Aug 1929,31583
Sep 1929,31634
Oct 1929,35510
Nov 1929,35341
Dec 1929,45911
Jan 1930,36982
Feb 1930,60294
Mar 1930,56456
Apr 1930,54127
May 1930,44035
Jun 1930,30313
Jul 1930,29895
Aug 1930,30256
Sep 1930,31351
Oct 1930,34792
Nov 1930,35883
Dec 1930,37014
Jan 1931,35679
Feb 1931,32555
Mar 1931,41115
Apr 1931,35401
May 1931,29038
Jun 1931,27269
Jul 1931,28608
Aug 1931,28949
Sep 1931,30145
Oct 1931,33888
Nov 1931,34320
Dec 1931,35280
Jan 1932,35639
Feb 1932,33644
Mar 1932,85230
Apr 1932,65716
