lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,CHALK CK at Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,11.1,16.6,21,26,34,48,72,91,113,148,2,2010,20100301,CO
38.7336075,-106.1600183,07091000,ac01,49,27,CHALK CK at Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,13.7,20,25,31,40,51,74,93,115,148,2,2010,20100301,CO
38.5458306,-106.0105692,07091500,ac01,47,255,ARKANSAS RIVER at Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,160,200,230,260,310,63,78,90,102,122,2,2010,20100301,CO
38.5458306,-106.0105692,07091500,ac01,49,310,ARKANSAS RIVER at Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,194,245,280,320,380,63,79,90,103,123,2,2010,20100301,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,GRAPE CK nr Westcliffe                  ,APR-JUL VOLUME,bound_10_30_50_70_90,4.4,11.4,18,26,41,27,71,112,161,255,2,2010,20100301,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,GRAPE CK nr Westcliffe                  ,APR-SEP VOLUME,bound_10_30_50_70_90,7.6,15.2,22,30,44,39,78,112,153,224,2,2010,20100301,CO
38.2716694,-104.718033,07099400,ac01,47,385,PUEBLO RESERVOIR Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,200,280,345,415,525,52,73,90,108,136,2,2010,20100301,CO
38.2716694,-104.718033,07099400,ac01,49,485,PUEBLO RESERVOIR Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,265,360,435,515,645,55,74,90,106,133,2,2010,20100301,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,HUERFANO RIVER nr Redwing               ,APR-JUL VOLUME,bound_10_30_50_70_90,7.7,10.9,13.3,16,20,63,89,108,130,163,2,2010,20100301,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,HUERFANO RIVER nr Redwing               ,APR-SEP VOLUME,bound_10_30_50_70_90,10.2,14,16.8,19.9,25,66,90,108,128,161,2,2010,20100301,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,CUCHARAS RIVER nr La Veta               ,APR-JUL VOLUME,bound_10_30_50_70_90,5.5,9.5,12.8,16.6,23,49,84,113,147,204,2,2010,20100301,CO
37.4200128,-105.052778,07114000,ac01,49,13,CUCHARAS RIVER nr La Veta               ,APR-SEP VOLUME,bound_10_30_50_70_90,6.8,11.2,14.7,18.7,26,52,86,113,144,200,2,2010,20100301,CO
37.1708522,-104.5091519,07124500,ac01,37,34,TRINIDAD LAKE Inflow (2)                ,MAR-JUL VOLUME,bound_10_30_50_70_90,11.2,22,32,43,63,33,65,94,126,185,2,2010,20100301,CO
37.1708522,-104.5091519,07124500,ac01,49,44,TRINIDAD LAKE Inflow (2)                ,APR-SEP VOLUME,bound_10_30_50_70_90,14.2,27,39,53,76,32,61,89,120,173,2,2010,20100301,CO
36.6805883,-104.7861069,07203000,ac01,36,7,VERMEJO RIVER nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.4,5.8,8,10.6,15.49,49,83,114,151,221,2,2010,20100301,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,EAGLE NEST RESERVOIR Inflow (2)         ,MAR-JUN VOLUME,bound_10_30_50_70_90,6.1,8.8,10.9,13.4,17.7,52,75,93,115,151,2,2010,20100301,NM
36.5197578,-104.9788914,07207000,ac01,36,15.9,CIMARRON RIVER nr Cimarron (2)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,5.7,8.7,14.2,19.7,28,36,55,89,124,176,2,2010,20100301,NM
36.5736458,-104.9466678,07207500,ac01,36,6.7,PONIL CREEK nr Cimarron                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.4,5.6,7.5,9.81,14.01,51,84,112,146,209,2,2010,20100301,NM
36.3722583,-104.9700025,07208500,ac01,36,7.1,RAYADO CK at Sauble Ranch nr Cimarron   ,MAR-JUN VOLUME,bound_10_30_50_70_90,2.6,4.9,7.1,9.8,15.11,37,69,100,138,213,2,2010,20100301,NM
35.8908731,-105.1636194,07216500,ac01,36,14.6,MORA RIVER nr Golondrinas (2)           ,MAR-JUN VOLUME,bound_10_30_50_70_90,5.2,7.9,13,21,32,36,54,89,144,219,2,2010,20100301,NM
