Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
2005,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.5,3.7,11,18.3,29,3,21,62,103,163,Clear Lake Inflow
2005,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,2.7,8.5,14.3,23,1,15,48,80,129,Clear Lake Inflow
2005,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,1.4,5,10.8,19.4,1,8,28,61,109,Clear Lake Inflow
2005,4,APR-SEP VOLUME,bound_10_30_50_70_90,2.7,3.8,5,8.7,14,15,21,28,49,79,Clear Lake Inflow
2005,5,MAY-SEP VOLUME,bound_50,-99.9,-99.9,3.2,-99.9,-99.9,-99,-99,49,-99,-99,Clear Lake Inflow
2006,1,APR-SEP VOLUME,bound_10_30_50_70_90,4.1,14.7,22,29,40,23,83,124,163,225,Clear Lake Inflow
2006,2,APR-SEP VOLUME,bound_10_30_50_70_90,9.7,18.2,24,30,38,54,102,135,169,213,Clear Lake Inflow
2006,3,APR-SEP VOLUME,bound_10_30_50_70_90,9.6,18.2,24,30,38,54,102,135,169,213,Clear Lake Inflow
2006,4,APR-SEP VOLUME,bound_10_30_50_70_90,19,24,28,32,37,107,135,157,180,208,Clear Lake Inflow
2006,5,MAY-SEP VOLUME,bound_50,-99.9,-99.9,10.5,-99.9,-99.9,-99,-99,160,-99,-99,Clear Lake Inflow
2007,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.4,6.7,14,21,32,2,38,79,118,180,Clear Lake Inflow
2007,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,4.2,10,15.8,24,4,24,56,89,135,Clear Lake Inflow
2007,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.5,5.2,11,16.8,25,3,29,62,94,140,Clear Lake Inflow
2007,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,3.3,7,10.7,16,1,19,39,60,90,Clear Lake Inflow
2007,5,MAY-SEP VOLUME,bound_50,-99.9,-99.9,2.9,-99.9,-99.9,-99,-99,44,-99,-99,Clear Lake Inflow
2008,1,APR-SEP VOLUME,bound_10_30_50_70_90,1,2.7,9.8,16.9,27,6,15,55,95,152,Clear Lake Inflow
2008,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.5,9.7,16,22,31,3,54,90,124,174,Clear Lake Inflow
2008,3,APR-SEP VOLUME,bound_10_30_50_70_90,4.5,12.6,18,23,31,25,71,101,129,174,Clear Lake Inflow
2008,4,APR-SEP VOLUME,bound_10_30_50_70_90,5.8,12.9,17.7,23,30,33,72,99,129,169,Clear Lake Inflow
2008,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.8,2.3,6.3,10.3,16.2,12,35,96,157,247,Clear Lake Inflow
2008,6,JUN-SEP VOLUME,bound_10_30_50_70_90,0.1,0.75,1.8,2.8,4.4,4,31,75,116,183,Clear Lake Inflow
2009,1,APR-SEP VOLUME,bound_10_30_50_70_90,1,7.9,15,22,33,6,44,84,124,185,Clear Lake Inflow
2009,2,APR-SEP VOLUME,bound_10_30_50_70_90,1,4.7,11,17.3,26,6,26,62,97,146,Clear Lake Inflow
2009,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.5,5,10.5,16,24,3,28,59,90,135,Clear Lake Inflow
2009,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,7.3,12.1,16.9,24,1,41,68,95,135,Clear Lake Inflow
2009,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.2,0.4,4.4,8.4,14.3,3,6,67,127,217,Clear Lake Inflow
2009,6,JUN-SEP VOLUME,bound_10_30_50_70_90,0.3,0.8,1.85,2.9,4.5,12,33,77,121,188,Clear Lake Inflow
2010,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,2.3,8,15.1,26,1,13,45,85,146,Clear Lake Inflow
2010,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,2.5,8.8,15.1,24,4,14,49,85,135,Clear Lake Inflow
2010,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.2,2,5,8.5,15,1,11,28,48,84,Clear Lake Inflow
2010,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.5,2.3,6,10.8,17.9,3,13,34,61,101,Clear Lake Inflow
2010,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.13,0.66,2.1,6.1,12,2,10,32,92,182,Clear Lake Inflow
2010,6,JUN-SEP VOLUME,bound_10_30_50_70_90,0.1,0.36,1,2,3.6,4,15,42,83,150,Clear Lake Inflow
2011,1,APR-SEP VOLUME,bound_10_30_50_70_90,11.5,22,29,36,47,65,124,163,202,264,Clear Lake Inflow
2011,2,APR-SEP VOLUME,bound_10_30_50_70_90,3.4,12.6,18.9,25,34,19,71,106,140,191,Clear Lake Inflow
2011,3,APR-SEP VOLUME,bound_10_30_50_70_90,5.2,13.2,18.7,24,32,29,74,105,135,180,Clear Lake Inflow
2011,4,APR-SEP VOLUME,bound_10_30_50_70_90,13.1,20,25,30,37,74,112,140,169,208,Clear Lake Inflow
2011,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.4,6.3,10.3,14.3,20,6,95,156,217,303,Clear Lake Inflow
2012,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.4,1.8,8.9,16,26,2,10,50,90,146,Clear Lake Inflow
2012,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,4.7,11,17.3,26,4,26,62,97,146,Clear Lake Inflow
2012,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,7.2,12,16.8,24,4,40,67,94,135,Clear Lake Inflow
2012,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.13,0.8,4.8,8.8,14.7,2,12,73,133,223,Clear Lake Inflow
