Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
2006,1,APR-SEP VOLUME,bound_10_30_50_70_90,199,259,300,341,401,87,113,130,148,174,Sprague R near Chiloquin
2006,2,APR-SEP VOLUME,bound_10_30_50_70_90,243,295,330,365,417,106,128,143,159,181,Sprague R near Chiloquin
2006,3,APR-SEP VOLUME,bound_10_30_50_70_90,250,295,325,355,400,109,128,141,154,174,Sprague R near Chiloquin
2006,4,APR-SEP VOLUME,bound_10_30_50_70_90,337,368,390,412,443,147,160,170,179,193,Sprague R near Chiloquin
2006,5,MAY-SEP VOLUME,bound_10_30_50_70_90,213,241,260,279,307,137,155,168,180,198,Sprague R near Chiloquin
2010,1,APR-SEP VOLUME,bound_10_30_50_70_90,53,120,165,210,275,23,52,72,91,120,Sprague R near Chiloquin
2010,2,APR-SEP VOLUME,bound_10_30_50_70_90,85,136,170,205,255,37,59,74,89,111,Sprague R near Chiloquin
2010,3,APR-SEP VOLUME,bound_10_30_50_70_90,79,121,150,179,220,34,53,65,78,96,Sprague R near Chiloquin
2010,4,APR-SEP VOLUME,bound_10_30_50_70_90,81,110,130,150,179,35,48,57,65,78,Sprague R near Chiloquin
2010,5,MAY-SEP VOLUME,bound_10_30_50_70_90,42,71,90,109,138,27,46,58,70,89,Sprague R near Chiloquin
2010,6,JUN-SEP VOLUME,bound_10_30_50_70_90,28,40,49,58,70,34,49,60,71,85,Sprague R near Chiloquin
