Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
1993,1,APR-SEP VOLUME,bound_10_30_50_70_90,119,185,230,275,341,52,81,101,121,150,Sprague R near Chiloquin
1993,2,APR-SEP VOLUME,bound_10_30_50_70_90,166,213,245,277,324,73,93,107,121,142,Sprague R near Chiloquin
1993,3,APR-SEP VOLUME,bound_10_30_50_70_90,184,222,248,274,312,81,97,109,120,137,Sprague R near Chiloquin
1993,4,APR-SEP VOLUME,bound_10_30_50_70_90,241,273,295,317,349,106,120,129,139,153,Sprague R near Chiloquin
1993,5,MAY-SEP VOLUME,bound_10_30_50_70_90,154,186,200,214,246,100,121,130,139,160,Sprague R near Chiloquin
1994,1,APR-SEP VOLUME,bound_10_30_50_70_90,19.2,85,130,175,241,8,37,57,77,106,Sprague R near Chiloquin
1994,2,APR-SEP VOLUME,bound_10_30_50_70_90,39,86,118,150,197,17,38,52,66,86,Sprague R near Chiloquin
1994,3,APR-SEP VOLUME,bound_10_30_50_70_90,54,92,118,144,182,24,40,52,63,80,Sprague R near Chiloquin
1994,4,APR-SEP VOLUME,bound_10_30_50_70_90,37,69,91,113,145,16,30,40,50,64,Sprague R near Chiloquin
1994,5,MAY-SEP VOLUME,bound_10_30_50_70_90,22,43,57,71,92,14,28,37,46,60,Sprague R near Chiloquin
1996,1,APR-SEP VOLUME,bound_10_30_50_70_90,49,115,160,205,271,21,50,70,90,119,Sprague R near Chiloquin
1997,1,APR-SEP VOLUME,bound_10_30_50_70_90,189,255,300,345,411,83,112,132,151,180,Sprague R near Chiloquin
1997,2,APR-SEP VOLUME,bound_10_30_50_70_90,221,268,300,332,379,97,118,132,146,166,Sprague R near Chiloquin
1997,3,APR-SEP VOLUME,bound_10_30_50_70_90,211,249,275,301,339,93,109,121,132,149,Sprague R near Chiloquin
1997,4,APR-SEP VOLUME,bound_10_30_50_70_90,171,203,225,247,279,75,89,99,108,122,Sprague R near Chiloquin
1997,5,MAY-SEP VOLUME,bound_10_30_50_70_90,124,145,159,173,194,81,94,103,112,126,Sprague R near Chiloquin
1998,1,APR-SEP VOLUME,bound_10_30_50_70_90,39,105,150,195,261,17,46,66,86,114,Sprague R near Chiloquin
1998,2,APR-SEP VOLUME,bound_10_30_50_70_90,149,196,228,260,307,65,86,100,114,135,Sprague R near Chiloquin
1998,3,APR-SEP VOLUME,bound_10_30_50_70_90,210,248,274,300,338,92,109,120,132,148,Sprague R near Chiloquin
1998,4,APR-SEP VOLUME,bound_10_30_50_70_90,206,238,260,282,314,90,104,114,124,138,Sprague R near Chiloquin
1998,5,MAY-SEP VOLUME,bound_10_30_50_70_90,150,171,185,199,220,97,111,120,129,143,Sprague R near Chiloquin
1999,1,APR-SEP VOLUME,bound_10_30_50_70_90,109,175,220,265,331,48,77,96,116,145,Sprague R near Chiloquin
1999,2,APR-SEP VOLUME,bound_10_30_50_70_90,216,263,295,327,374,95,115,129,143,164,Sprague R near Chiloquin
1999,3,APR-SEP VOLUME,bound_10_30_50_70_90,301,339,365,391,429,132,149,160,171,188,Sprague R near Chiloquin
1999,4,APR-SEP VOLUME,bound_10_30_50_70_90,356,388,410,432,464,156,170,180,189,204,Sprague R near Chiloquin
1999,5,MAY-SEP VOLUME,bound_10_30_50_70_90,275,296,310,324,345,179,192,201,210,224,Sprague R near Chiloquin
2000,1,APR-SEP VOLUME,bound_10_30_50_70_90,20,57,102,147,213,9,25,45,64,93,Sprague R near Chiloquin
2000,2,APR-SEP VOLUME,bound_10_30_50_70_90,116,163,195,227,274,51,71,86,100,120,Sprague R near Chiloquin
2000,3,APR-SEP VOLUME,bound_10_30_50_70_90,176,214,240,266,304,77,94,105,117,133,Sprague R near Chiloquin
2000,4,APR-SEP VOLUME,bound_10_30_50_70_90,140,172,194,216,248,61,75,85,95,109,Sprague R near Chiloquin
