Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
1993,1,APR-SEP VOLUME,bound_10_30_50_70_90,225,326,390,454,555,58,83,100,116,142,Williamson R near Chiloquin
1993,2,APR-SEP VOLUME,bound_10_30_50_70_90,283,367,425,483,567,72,94,109,124,145,Williamson R near Chiloquin
1993,3,APR-SEP VOLUME,bound_10_30_50_70_90,318,385,430,475,542,81,98,110,121,139,Williamson R near Chiloquin
1993,4,APR-SEP VOLUME,bound_10_30_50_70_90,362,423,465,507,568,93,108,119,130,145,Williamson R near Chiloquin
1993,5,MAY-SEP VOLUME,bound_10_30_50_70_90,239,296,335,374,431,89,110,124,139,160,Williamson R near Chiloquin
1994,1,APR-SEP VOLUME,bound_10_30_50_70_90,106,201,265,329,424,27,51,68,84,108,Williamson R near Chiloquin
1994,2,APR-SEP VOLUME,bound_10_30_50_70_90,108,192,250,308,392,28,49,64,79,100,Williamson R near Chiloquin
1994,3,APR-SEP VOLUME,bound_10_30_50_70_90,148,215,260,305,372,38,55,66,78,95,Williamson R near Chiloquin
1994,4,APR-SEP VOLUME,bound_10_30_50_70_90,97,158,200,242,303,25,40,51,62,77,Williamson R near Chiloquin
1994,5,MAY-SEP VOLUME,bound_10_30_50_70_90,39,96,135,174,231,14,36,50,64,86,Williamson R near Chiloquin
1996,1,APR-SEP VOLUME,bound_10_30_50_70_90,111,206,270,334,429,28,53,69,85,110,Williamson R near Chiloquin
1997,1,APR-SEP VOLUME,bound_10_30_50_70_90,351,446,510,574,669,90,114,130,147,171,Williamson R near Chiloquin
1997,2,APR-SEP VOLUME,bound_10_30_50_70_90,368,452,510,568,652,94,116,130,145,167,Williamson R near Chiloquin
1997,3,APR-SEP VOLUME,bound_10_30_50_70_90,358,425,470,515,582,92,109,120,132,149,Williamson R near Chiloquin
1997,4,APR-SEP VOLUME,bound_10_30_50_70_90,287,348,390,432,493,73,89,100,110,126,Williamson R near Chiloquin
1997,5,MAY-SEP VOLUME,bound_10_30_50_70_90,204,261,300,339,396,76,97,111,126,147,Williamson R near Chiloquin
1998,1,APR-SEP VOLUME,bound_10_30_50_70_90,116,211,275,339,434,30,54,70,87,111,Williamson R near Chiloquin
1998,2,APR-SEP VOLUME,bound_10_30_50_70_90,249,333,391,449,533,64,85,100,115,136,Williamson R near Chiloquin
1998,3,APR-SEP VOLUME,bound_10_30_50_70_90,398,465,510,555,622,102,119,130,142,159,Williamson R near Chiloquin
1998,4,APR-SEP VOLUME,bound_10_30_50_70_90,347,408,450,492,553,89,104,115,126,141,Williamson R near Chiloquin
1998,5,MAY-SEP VOLUME,bound_10_30_50_70_90,239,296,335,374,431,89,110,124,139,160,Williamson R near Chiloquin
1999,1,APR-SEP VOLUME,bound_10_30_50_70_90,301,396,460,524,619,77,101,118,134,158,Williamson R near Chiloquin
1999,2,APR-SEP VOLUME,bound_10_30_50_70_90,368,452,510,568,652,94,116,130,145,167,Williamson R near Chiloquin
1999,3,APR-SEP VOLUME,bound_10_30_50_70_90,553,620,665,710,777,141,159,170,182,199,Williamson R near Chiloquin
1999,4,APR-SEP VOLUME,bound_10_30_50_70_90,637,698,740,782,843,163,179,189,200,216,Williamson R near Chiloquin
1999,5,MAY-SEP VOLUME,bound_10_30_50_70_90,419,476,515,554,611,155,176,191,205,226,Williamson R near Chiloquin
2000,1,APR-SEP VOLUME,bound_10_30_50_70_90,76,171,235,299,394,19,44,60,76,101,Williamson R near Chiloquin
2000,2,APR-SEP VOLUME,bound_10_30_50_70_90,248,332,390,448,532,63,85,100,115,136,Williamson R near Chiloquin
2000,3,APR-SEP VOLUME,bound_10_30_50_70_90,338,405,450,495,562,86,104,115,127,144,Williamson R near Chiloquin
2000,4,APR-SEP VOLUME,bound_10_30_50_70_90,262,323,365,407,468,67,83,93,104,120,Williamson R near Chiloquin
2000,5,MAY-SEP VOLUME,bound_10_30_50_70_90,94,151,190,229,286,35,56,70,85,106,Williamson R near Chiloquin
2001,1,APR-SEP VOLUME,bound_10_30_50_70_90,116,211,275,339,434,30,54,70,87,111,Williamson R near Chiloquin
2001,2,APR-SEP VOLUME,bound_10_30_50_70_90,93,177,235,293,377,24,45,60,75,96,Williamson R near Chiloquin
2001,3,APR-SEP VOLUME,bound_10_30_50_70_90,93,160,205,250,317,24,41,52,64,81,Williamson R near Chiloquin
2001,4,APR-SEP VOLUME,bound_10_30_50_70_90,47,108,150,192,253,12,28,38,49,65,Williamson R near Chiloquin
2001,5,MAY-SEP VOLUME,bound_10_30_50_70_90,12,69,108,147,204,4,26,40,54,76,Williamson R near Chiloquin
2002,1,APR-SEP VOLUME,bound_10_30_50_70_90,281,376,440,504,599,73,98,114,131,156,Williamson R near Chiloquin
2002,2,APR-SEP VOLUME,bound_10_30_50_70_90,233,317,375,433,517,61,82,97,112,134,Williamson R near Chiloquin
2002,3,APR-SEP VOLUME,bound_10_30_50_70_90,233,300,345,390,457,61,78,90,101,119,Williamson R near Chiloquin
2002,4,APR-SEP VOLUME,bound_10_30_50_70_90,205,266,308,350,411,53,69,80,91,107,Williamson R near Chiloquin
2002,5,MAY-SEP VOLUME,bound_10_30_50_70_90,94,151,190,229,286,35,57,72,86,108,Williamson R near Chiloquin
2003,1,APR-SEP VOLUME,bound_10_30_50_70_90,186,281,345,409,504,48,73,90,106,131,Williamson R near Chiloquin
2003,2,APR-SEP VOLUME,bound_10_30_50_70_90,148,232,290,348,432,38,60,75,90,112,Williamson R near Chiloquin
