"Year","Location","Value"
1961,"Gerber Reservoir Inflow",3.7111517088
1962,"Gerber Reservoir Inflow",26.1939626711
1963,"Gerber Reservoir Inflow",25.6964885604
1964,"Gerber Reservoir Inflow",33.6968743095
1965,"Gerber Reservoir Inflow",12.1066645166
1966,"Gerber Reservoir Inflow",7.9420915658
1967,"Gerber Reservoir Inflow",28.1446657467
1968,"Gerber Reservoir Inflow",3.3931022943
1969,"Gerber Reservoir Inflow",48.3042581327
1970,"Gerber Reservoir Inflow",3.8470392385
1971,"Gerber Reservoir Inflow",34.4875449556
1972,"Gerber Reservoir Inflow",10.0045235065
1973,"Gerber Reservoir Inflow",8.424788825
1974,"Gerber Reservoir Inflow",22.2022292961
1975,"Gerber Reservoir Inflow",46.2773898091
1976,"Gerber Reservoir Inflow",10.7173231204
1977,"Gerber Reservoir Inflow",1.5017843105
1978,"Gerber Reservoir Inflow",13.6547826863
1979,"Gerber Reservoir Inflow",5.1735244704
1980,"Gerber Reservoir Inflow",9.0807818581
1981,"Gerber Reservoir Inflow",5.2200566766
1982,"Gerber Reservoir Inflow",39.9822328884
1983,"Gerber Reservoir Inflow",43.3712889039
1984,"Gerber Reservoir Inflow",30.4985884386
1985,"Gerber Reservoir Inflow",22.9710024334
1986,"Gerber Reservoir Inflow",21.0496745485
1987,"Gerber Reservoir Inflow",12.978042557
1988,"Gerber Reservoir Inflow",10.9351477958
1989,"Gerber Reservoir Inflow",54.9231570268
1990,"Gerber Reservoir Inflow",8.0618534844
1991,"Gerber Reservoir Inflow",13.8689776116
1992,"Gerber Reservoir Inflow",0.3848526841
1993,"Gerber Reservoir Inflow",27.0584382359
1994,"Gerber Reservoir Inflow",8.3665938152
1995,"Gerber Reservoir Inflow",36.7480263758
1996,"Gerber Reservoir Inflow",29.2662783623
1997,"Gerber Reservoir Inflow",11.0084171776
1998,"Gerber Reservoir Inflow",52.608368198
1999,"Gerber Reservoir Inflow",58.2091122717
2000,"Gerber Reservoir Inflow",47.8476236693
2001,"Gerber Reservoir Inflow",39.9421469597
2002,"Gerber Reservoir Inflow",47.1473000817
2003,"Gerber Reservoir Inflow",52.0577767607
2004,"Gerber Reservoir Inflow",38.4220948905
2005,"Gerber Reservoir Inflow",31.8707529846
2006,"Gerber Reservoir Inflow",35.4284436195
2007,"Gerber Reservoir Inflow",38.130425627
2008,"Gerber Reservoir Inflow",36.6929255792
2009,"Gerber Reservoir Inflow",35.4223742013
2010,"Gerber Reservoir Inflow",33.0294961586
2011,"Gerber Reservoir Inflow",33.2393274499
2012,"Gerber Reservoir Inflow",35.7018847937
2013,"Gerber Reservoir Inflow",NA
1961,"Clear Lake Inflow",13.2426969591
