"InitDate","Year","ValueMax","ValueMin","Value50","Value10","Value90","Set","Month","Location","Value"
1993-01-01,1993,341,119,230,119,341,"NRCS",1,"Sprague R near Chiloquin",370.6973925939
1994-01-01,1994,241,19.2,130,19.2,241,"NRCS",1,"Sprague R near Chiloquin",118.9117438539
1996-01-01,1996,271,49,160,49,271,"NRCS",1,"Sprague R near Chiloquin",320.8051882139
1997-01-01,1997,411,189,300,189,411,"NRCS",1,"Sprague R near Chiloquin",276.2147991439
1998-01-01,1998,261,39,150,39,261,"NRCS",1,"Sprague R near Chiloquin",426.5281061539
1999-01-01,1999,331,109,220,109,331,"NRCS",1,"Sprague R near Chiloquin",448.2332183639
2000-01-01,2000,213,20,102,20,213,"NRCS",1,"Sprague R near Chiloquin",262.6200957639
2001-01-01,2001,251,29,140,29,251,"NRCS",1,"Sprague R near Chiloquin",132.8595048939
2002-01-01,2002,366,144,255,144,366,"NRCS",1,"Sprague R near Chiloquin",192.0581505139
2003-01-01,2003,286,64,175,64,286,"NRCS",1,"Sprague R near Chiloquin",221.3897048739
2004-01-01,2004,281,59,170,59,281,"NRCS",1,"Sprague R near Chiloquin",163.7897360739
2005-01-01,2005,271,69,170,69,271,"NRCS",1,"Sprague R near Chiloquin",238.4554807539
2006-01-01,2006,401,199,300,199,401,"NRCS",1,"Sprague R near Chiloquin",426.0183543639
2007-01-01,2007,306,104,205,104,306,"NRCS",1,"Sprague R near Chiloquin",179.2568351339
2008-01-01,2008,280,58,170,58,280,"NRCS",1,"Sprague R near Chiloquin",269.4670342039
2009-01-01,2009,300,76,188,76,300,"NRCS",1,"Sprague R near Chiloquin",183.6779897639
2010-01-01,2010,275,53,165,53,275,"NRCS",1,"Sprague R near Chiloquin",179.2965045339
2011-01-01,2011,407,183,295,183,407,"NRCS",1,"Sprague R near Chiloquin",385.2441615739
2012-01-01,2012,227,4,115,4,227,"NRCS",1,"Sprague R near Chiloquin",225.9556528139
2013-01-01,2013,352,128,240,128,352,"NRCS",1,"Sprague R near Chiloquin",163.7441162639
2014-01-01,2014,197,4,86,4,197,"NRCS",1,"Sprague R near Chiloquin",134.9996690239
2015-01-01,2015,222,4,113,4,222,"NRCS",1,"Sprague R near Chiloquin",133.3692566839
2016-01-01,2016,325,106,215,106,325,"NRCS",1,"Sprague R near Chiloquin",193.9503808939
2017-01-01,2017,119,345,230,345,119,"NRCS",1,"Sprague R near Chiloquin",NA
1993-02-01,1993,324,166,245,166,324,"NRCS",2,"Sprague R near Chiloquin",370.6973925939
1994-02-01,1994,197,39,118,39,197,"NRCS",2,"Sprague R near Chiloquin",118.9117438539
1997-02-01,1997,379,221,300,221,379,"NRCS",2,"Sprague R near Chiloquin",276.2147991439
1998-02-01,1998,307,149,228,149,307,"NRCS",2,"Sprague R near Chiloquin",426.5281061539
1999-02-01,1999,374,216,295,216,374,"NRCS",2,"Sprague R near Chiloquin",448.2332183639
2000-02-01,2000,274,116,195,116,274,"NRCS",2,"Sprague R near Chiloquin",262.6200957639
2001-02-01,2001,199,41,120,41,199,"NRCS",2,"Sprague R near Chiloquin",132.8595048939
2002-02-01,2002,299,141,220,141,299,"NRCS",2,"Sprague R near Chiloquin",192.0581505139
2003-02-01,2003,239,81,160,81,239,"NRCS",2,"Sprague R near Chiloquin",221.3897048739
2004-02-01,2004,239,81,160,81,239,"NRCS",2,"Sprague R near Chiloquin",163.7897360739
2005-02-01,2005,225,53,140,53,225,"NRCS",2,"Sprague R near Chiloquin",238.4554807539
2006-02-01,2006,417,243,330,243,417,"NRCS",2,"Sprague R near Chiloquin",426.0183543639
2007-02-01,2007,252,78,165,78,252,"NRCS",2,"Sprague R near Chiloquin",179.2568351339
2008-02-01,2008,320,150,235,150,320,"NRCS",2,"Sprague R near Chiloquin",269.4670342039
2009-02-01,2009,230,60,145,60,230,"NRCS",2,"Sprague R near Chiloquin",183.6779897639
2010-02-01,2010,255,85,170,85,255,"NRCS",2,"Sprague R near Chiloquin",179.2965045339
