"InitDate","Year","ValueMax","ValueMin","Value50","Value10","Value90","Set","Month","Location","Value"
1993-01-01,1993,555,225,390,225,555,"NRCS",1,"Williamson R blw Sprague near Chiloquin",520.5570205108
1994-01-01,1994,424,106,265,106,424,"NRCS",1,"Williamson R blw Sprague near Chiloquin",213.6190049508
1996-01-01,1996,429,111,270,111,429,"NRCS",1,"Williamson R blw Sprague near Chiloquin",446.7640026308
1997-01-01,1997,669,351,510,351,669,"NRCS",1,"Williamson R blw Sprague near Chiloquin",399.3927886208
1998-01-01,1998,434,116,275,116,434,"NRCS",1,"Williamson R blw Sprague near Chiloquin",601.1493735508
1999-01-01,1999,619,301,460,301,619,"NRCS",1,"Williamson R blw Sprague near Chiloquin",644.9047217508
2000-01-01,2000,394,76,235,76,394,"NRCS",1,"Williamson R blw Sprague near Chiloquin",428.3177316308
2001-01-01,2001,434,116,275,116,434,"NRCS",1,"Williamson R blw Sprague near Chiloquin",267.5198022008
2002-01-01,2002,599,281,440,281,599,"NRCS",1,"Williamson R blw Sprague near Chiloquin",317.2949818508
2003-01-01,2003,504,186,345,186,504,"NRCS",1,"Williamson R blw Sprague near Chiloquin",341.8205884008
2004-01-01,2004,469,151,310,151,469,"NRCS",1,"Williamson R blw Sprague near Chiloquin",285.6903708708
2005-01-01,2005,417,183,300,183,417,"NRCS",1,"Williamson R blw Sprague near Chiloquin",344.6371158008
2006-01-01,2006,607,373,490,373,607,"NRCS",1,"Williamson R blw Sprague near Chiloquin",604.5054047908
2007-01-01,2007,467,233,350,233,467,"NRCS",1,"Williamson R blw Sprague near Chiloquin",313.3518434908
2008-01-01,2008,435,167,300,167,435,"NRCS",1,"Williamson R blw Sprague near Chiloquin",425.8463280108
2009-01-01,2009,475,205,340,205,475,"NRCS",1,"Williamson R blw Sprague near Chiloquin",336.0387733508
2010-01-01,2010,425,157,290,157,425,"NRCS",1,"Williamson R blw Sprague near Chiloquin",315.5336604908
2011-01-01,2011,600,330,465,330,600,"NRCS",1,"Williamson R blw Sprague near Chiloquin",514.8902467208
