"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","high","high","high",NA,"high",NA,NA,NA,NA,"high",NA,"high","high","med","high"
"2",NA,NA,"high","high","high",NA,"high","high",NA,"high","high","high","high","high","high"
"3","high",NA,"high","high","high",NA,NA,"med",NA,"high","high","high","high","low","high"
"4","high",NA,"high","high",NA,NA,"high","high",NA,"high","high","med","med","high","low"
"5","high",NA,NA,"high","high",NA,"high","high","high","high",NA,"high",NA,"high","high"
"6","low",NA,NA,"high",NA,NA,"high",NA,"high","high",NA,"high","high","low",NA
"7","high",NA,"med","high","high",NA,"high","high","high","high",NA,"low","high","high","high"
"8","high","high",NA,"high","high",NA,NA,"high",NA,"low","high","high","high","high","high"
"9","high",NA,"high",NA,NA,NA,"high","high","high","high",NA,"med",NA,"low","high"
"10","high","high","high","high",NA,NA,"high","high","high","high","high",NA,"high","low","high"
"11","high",NA,"med",NA,"low",NA,"high","low","high","high","high","low",NA,"high","high"
"12","low",NA,"high","high","high",NA,"high","low","high","high","high",NA,"high","high","high"
"13",NA,"high","high","high","med",NA,"high","high","high","high","high","med","med","low","high"
"14","low","high","high",NA,"high",NA,NA,"high","high","high","high","high",NA,"high","low"
"15","high",NA,"high",NA,NA,NA,"high","high",NA,"high","high","high","high","med",NA
"16","high",NA,"high",NA,"high",NA,NA,NA,"high","high",NA,"med","high","high","high"
"17","high",NA,"high",NA,"high",NA,"high","low","high","high",NA,"high","high","high","low"
"18","high",NA,"high","high","high","high","high","high","high","low",NA,"high",NA,"med","high"
"19","high",NA,"high",NA,"high",NA,"high","med","high","high","high","high","high","med","med"
"20","high",NA,NA,"high","high",NA,NA,NA,"high","high","high","high","high","low","high"
"21","high","high","high",NA,"med",NA,NA,"high","high","med","high","low",NA,"high","high"
"22",NA,NA,"high","high","high",NA,NA,NA,NA,"high",NA,"high","high","high","high"
"23","high",NA,"high",NA,"high",NA,"high","high","high","high",NA,"high","high","high","high"
"24","high",NA,"high",NA,"high",NA,NA,"med","high","high",NA,"high","high",NA,"high"
"25","high",NA,"high","high","high",NA,"high","high","high","high","high","high","high","low","high"
"26","high",NA,"high","high","high",NA,NA,"high","high","high",NA,"med","high","low","low"
"27","high",NA,"high","high","high","high","high","high","high","low",NA,"high",NA,"high",NA
"28",NA,"high","high","high","high",NA,NA,NA,NA,"low",NA,"med","high","high","high"
"29","low",NA,NA,"high","high",NA,NA,"high","high","high","high","high",NA,"high","med"
"30",NA,"high","high","high","high",NA,"high","high","high","high","high","med","high","high","high"
"31","high","high","high","high","high",NA,"high","high",NA,"high",NA,"high",NA,NA,"high"
"32","high",NA,"high","high",NA,NA,"high","high","high","high","high","high",NA,"high",NA
"33","med",NA,"high",NA,"high",NA,NA,"high","high",NA,NA,"high",NA,"high",NA
"34","high",NA,"high","high","high",NA,"high","high","high","low","high","high","high","high","med"
"35",NA,NA,"high","high","high",NA,NA,"high","med","high","high",NA,"high","high","high"
"36","low",NA,NA,"high","high",NA,NA,NA,"high","high",NA,"low","high","high","high"
