Trace,InitDate,Ensemble
1,2006-01-01,1
2,2006-01-01,2
3,2006-01-01,3
4,2006-01-01,4
5,2006-01-01,5
6,2006-01-01,6
7,2006-01-01,7
8,2006-01-01,8
9,2006-01-01,9
10,2006-01-01,10
11,2006-01-01,11
12,2006-01-01,12
13,2006-01-01,13
14,2006-01-01,14
15,2006-01-01,15
16,2006-01-01,16
17,2006-01-01,17
18,2006-01-01,18
19,2006-01-01,19
20,2006-01-01,20
21,2006-01-01,21
22,2006-01-01,22
23,2006-01-01,23
24,2006-01-01,24
25,2006-01-01,25
26,2006-01-01,26
27,2006-01-01,27
28,2006-01-01,28
29,2006-01-01,29
30,2006-01-01,30
31,2006-01-01,31
32,2006-01-01,32
33,2006-01-01,33
34,2006-01-01,34
35,2006-01-01,35
36,2006-01-01,36
37,2006-02-01,1
38,2006-02-01,2
39,2006-02-01,3
40,2006-02-01,4
41,2006-02-01,5
42,2006-02-01,6
43,2006-02-01,7
44,2006-02-01,8
45,2006-02-01,9
46,2006-02-01,10
47,2006-02-01,11
48,2006-02-01,12
49,2006-02-01,13
50,2006-02-01,14
51,2006-02-01,15
52,2006-02-01,16
53,2006-02-01,17
54,2006-02-01,18
55,2006-02-01,19
56,2006-02-01,20
57,2006-02-01,21
58,2006-02-01,22
59,2006-02-01,23
60,2006-02-01,24
61,2006-02-01,25
62,2006-02-01,26
63,2006-02-01,27
64,2006-02-01,28
65,2006-02-01,29
66,2006-02-01,30
67,2006-02-01,31
68,2006-02-01,32
69,2006-02-01,33
70,2006-02-01,34
71,2006-02-01,35
72,2006-02-01,36
73,2006-03-01,1
74,2006-03-01,2
75,2006-03-01,3
76,2006-03-01,4
77,2006-03-01,5
78,2006-03-01,6
79,2006-03-01,7
80,2006-03-01,8
81,2006-03-01,9
82,2006-03-01,10
83,2006-03-01,11
84,2006-03-01,12
85,2006-03-01,13
86,2006-03-01,14
87,2006-03-01,15
88,2006-03-01,16
89,2006-03-01,17
90,2006-03-01,18
91,2006-03-01,19
92,2006-03-01,20
93,2006-03-01,21
94,2006-03-01,22
95,2006-03-01,23
96,2006-03-01,24
97,2006-03-01,25
98,2006-03-01,26
99,2006-03-01,27
100,2006-03-01,28
101,2006-03-01,29
102,2006-03-01,30
103,2006-03-01,31
104,2006-03-01,32
105,2006-03-01,33
106,2006-03-01,34
107,2006-03-01,35
108,2006-03-01,36
109,2006-04-01,1
110,2006-04-01,2
111,2006-04-01,3
112,2006-04-01,4
113,2006-04-01,5
114,2006-04-01,6
115,2006-04-01,7
116,2006-04-01,8
117,2006-04-01,9
118,2006-04-01,10
119,2006-04-01,11
120,2006-04-01,12
121,2006-04-01,13
122,2006-04-01,14
123,2006-04-01,15
124,2006-04-01,16
125,2006-04-01,17
126,2006-04-01,18
127,2006-04-01,19
128,2006-04-01,20
129,2006-04-01,21
130,2006-04-01,22
131,2006-04-01,23
132,2006-04-01,24
133,2006-04-01,25
134,2006-04-01,26
135,2006-04-01,27
136,2006-04-01,28
137,2006-04-01,29
138,2006-04-01,30
139,2006-04-01,31
140,2006-04-01,32
141,2006-04-01,33
142,2006-04-01,34
143,2006-04-01,35
144,2006-04-01,36
145,2006-05-01,1
146,2006-05-01,2
147,2006-05-01,3
148,2006-05-01,4
149,2006-05-01,5
150,2006-05-01,6
151,2006-05-01,7
152,2006-05-01,8
153,2006-05-01,9
154,2006-05-01,10
155,2006-05-01,11
156,2006-05-01,12
157,2006-05-01,13
158,2006-05-01,14
159,2006-05-01,15
160,2006-05-01,16
161,2006-05-01,17
162,2006-05-01,18
163,2006-05-01,19
164,2006-05-01,20
165,2006-05-01,21
166,2006-05-01,22
167,2006-05-01,23
168,2006-05-01,24
169,2006-05-01,25
170,2006-05-01,26
171,2006-05-01,27
172,2006-05-01,28
173,2006-05-01,29
174,2006-05-01,30
175,2006-05-01,31
176,2006-05-01,32
177,2006-05-01,33
178,2006-05-01,34
179,2006-05-01,35
180,2006-05-01,36
