Trace,InitDate,Ensemble
1,2010-01-01,1
2,2010-01-01,2
3,2010-01-01,3
4,2010-01-01,4
5,2010-01-01,5
6,2010-01-01,6
7,2010-01-01,7
8,2010-01-01,8
9,2010-01-01,9
10,2010-01-01,10
11,2010-01-01,11
12,2010-01-01,12
13,2010-01-01,13
14,2010-01-01,14
15,2010-01-01,15
16,2010-01-01,16
17,2010-01-01,17
18,2010-01-01,18
19,2010-01-01,19
20,2010-01-01,20
21,2010-01-01,21
22,2010-01-01,22
23,2010-01-01,23
24,2010-01-01,24
25,2010-01-01,25
26,2010-01-01,26
27,2010-01-01,27
28,2010-01-01,28
29,2010-01-01,29
30,2010-01-01,30
31,2010-01-01,31
32,2010-01-01,32
33,2010-01-01,33
34,2010-01-01,34
35,2010-01-01,35
36,2010-01-01,36
37,2010-02-01,1
38,2010-02-01,2
39,2010-02-01,3
40,2010-02-01,4
41,2010-02-01,5
42,2010-02-01,6
43,2010-02-01,7
44,2010-02-01,8
45,2010-02-01,9
46,2010-02-01,10
47,2010-02-01,11
48,2010-02-01,12
49,2010-02-01,13
50,2010-02-01,14
51,2010-02-01,15
52,2010-02-01,16
53,2010-02-01,17
54,2010-02-01,18
55,2010-02-01,19
56,2010-02-01,20
57,2010-02-01,21
58,2010-02-01,22
59,2010-02-01,23
60,2010-02-01,24
61,2010-02-01,25
62,2010-02-01,26
63,2010-02-01,27
64,2010-02-01,28
65,2010-02-01,29
66,2010-02-01,30
67,2010-02-01,31
68,2010-02-01,32
69,2010-02-01,33
70,2010-02-01,34
71,2010-02-01,35
72,2010-02-01,36
73,2010-03-01,1
74,2010-03-01,2
75,2010-03-01,3
76,2010-03-01,4
77,2010-03-01,5
78,2010-03-01,6
79,2010-03-01,7
80,2010-03-01,8
81,2010-03-01,9
82,2010-03-01,10
83,2010-03-01,11
84,2010-03-01,12
85,2010-03-01,13
86,2010-03-01,14
87,2010-03-01,15
88,2010-03-01,16
89,2010-03-01,17
90,2010-03-01,18
91,2010-03-01,19
92,2010-03-01,20
93,2010-03-01,21
94,2010-03-01,22
95,2010-03-01,23
96,2010-03-01,24
97,2010-03-01,25
98,2010-03-01,26
99,2010-03-01,27
100,2010-03-01,28
101,2010-03-01,29
102,2010-03-01,30
103,2010-03-01,31
104,2010-03-01,32
105,2010-03-01,33
106,2010-03-01,34
107,2010-03-01,35
108,2010-03-01,36
109,2010-04-01,1
110,2010-04-01,2
111,2010-04-01,3
112,2010-04-01,4
113,2010-04-01,5
114,2010-04-01,6
115,2010-04-01,7
116,2010-04-01,8
117,2010-04-01,9
118,2010-04-01,10
119,2010-04-01,11
120,2010-04-01,12
121,2010-04-01,13
122,2010-04-01,14
123,2010-04-01,15
124,2010-04-01,16
125,2010-04-01,17
126,2010-04-01,18
127,2010-04-01,19
128,2010-04-01,20
129,2010-04-01,21
130,2010-04-01,22
131,2010-04-01,23
132,2010-04-01,24
133,2010-04-01,25
134,2010-04-01,26
135,2010-04-01,27
136,2010-04-01,28
137,2010-04-01,29
138,2010-04-01,30
139,2010-04-01,31
140,2010-04-01,32
141,2010-04-01,33
142,2010-04-01,34
143,2010-04-01,35
144,2010-04-01,36
145,2010-05-01,1
146,2010-05-01,2
147,2010-05-01,3
148,2010-05-01,4
149,2010-05-01,5
150,2010-05-01,6
151,2010-05-01,7
152,2010-05-01,8
153,2010-05-01,9
154,2010-05-01,10
155,2010-05-01,11
156,2010-05-01,12
157,2010-05-01,13
158,2010-05-01,14
159,2010-05-01,15
160,2010-05-01,16
161,2010-05-01,17
162,2010-05-01,18
163,2010-05-01,19
164,2010-05-01,20
165,2010-05-01,21
166,2010-05-01,22
167,2010-05-01,23
168,2010-05-01,24
169,2010-05-01,25
170,2010-05-01,26
171,2010-05-01,27
172,2010-05-01,28
173,2010-05-01,29
174,2010-05-01,30
175,2010-05-01,31
176,2010-05-01,32
177,2010-05-01,33
178,2010-05-01,34
179,2010-05-01,35
180,2010-05-01,36
