"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","med","high","high",NA,"low",NA,NA,NA,"high","high","high","high","high","med","high"
"2","med","high","high","high","low",NA,NA,"high","high","high",NA,"high","high","med","low"
"3","high","high","high",NA,"low",NA,"high","high","high","high",NA,"high","high","med","high"
"4","high","high","high","high","med",NA,"high",NA,"high","high","high","high","high","med","low"
"5","high","high","high","high","high",NA,"high","high",NA,"high","high","high","high","low","low"
"6","high","high","high",NA,"high",NA,"high","high","high",NA,NA,"high","high","med","high"
"7","high","high","high","high","med",NA,"high","high","high","high","high","high","high","low","low"
"8","med",NA,"high",NA,"low",NA,NA,"high","high","high",NA,"high","high","high","low"
"9","med","high","high","high","high",NA,"high","high","high","high","high","high","high","low","med"
"10","high","high","high","high","high",NA,"high","high","high",NA,"high","high","high","low","med"
"11","med","high","high","high","high",NA,"high","high","high","high","high","high","high","low","low"
"12","high","high","high","high","low",NA,"high","high","high","high","high","high","high","low","low"
"13","high","high","high","high","med",NA,"high",NA,"high","high","high","high","high","high","low"
"14","low",NA,"high","high","high",NA,NA,"high","high","high",NA,"high","high","high","low"
"15","high","high","high","high","low",NA,"high","high","high","high",NA,"high","high","med","high"
"16","high","high","high",NA,"low",NA,"high","high","high","high",NA,"high","high","low","low"
"17","med","high","high","high","low",NA,"high","high","high","high","high","high","high","high","low"
"18","high",NA,"high","high","low",NA,NA,"high","high",NA,"high","high","high","low","low"
"19","low",NA,"high",NA,"low",NA,"high","high","high","high","high","high","high","high","low"
"20","high","high","high","high","high",NA,NA,"high","high","high",NA,"high","high","low","low"
"21","high","high","high",NA,"low",NA,"high","high","high","high","high","high","high","low","low"
"22","high","high","high","high","med",NA,"high",NA,"high","high","high","high","high","high","low"
"23","high","high","high","high","med",NA,"high","high","high","high","high","high","high","low","med"
"24","high",NA,"high","high","low",NA,"high","high","high","high","high","high","high","high","low"
"25","high","high","high","high","med",NA,"high",NA,"high","high",NA,"high","high","med","low"
"26","high","high","high",NA,"high",NA,"high","high","high","high","high","high","high","low","low"
"27","high","high","high","high","med",NA,"high","high","high","high","high","high","high","med","low"
"28","high","high","high","high","low",NA,"high","high","med","high","high","high","high","med","low"
"29","med","high","high","high","med",NA,"high","high","high","high","high","high","high","low","low"
"30","high","high","high","high","low",NA,NA,"high",NA,"high","high",NA,"high","low","low"
"31","high",NA,"high","high","high",NA,"high","high","high","high","high","high","high","low","high"
"32","high","high",NA,"high","low",NA,"high","high","high","high","high","high","high","low","low"
"33","med","high","high","high","med",NA,"high","high","high","high","high","high","high","low","low"
"34","high",NA,"high",NA,"high",NA,"high","high","high","high","high","high","high","low","low"
"35","high",NA,"high","high","low",NA,NA,NA,"high","high","high","high","high","low","low"
"36","high","high","high","high","low",NA,"high","high","high","high","high","high","high","med","low"
