"","year","Value_obs","Location"
"1",1950,206.23264,"Will"
"2",1951,258.24564,"Will"
"3",1952,446.63264,"Will"
"4",1953,355.34864,"Will"
"5",1954,351.74364,"Will"
"6",1955,202.43264,"Will"
"7",1956,486.62664,"Will"
"8",1957,273.50964,"Will"
"9",1958,389.45864,"Will"
"10",1959,180.13764,"Will"
"11",1960,189.24564,"Will"
"12",1961,173.63764,"Will"
"13",1962,207.81464,"Will"
"14",1963,252.90964,"Will"
"15",1964,221.18664,"Will"
"16",1965,237.54564,"Will"
"17",1966,198.61164,"Will"
"18",1967,282.43664,"Will"
"19",1968,137.65864,"Will"
"20",1969,297.51564,"Will"
"21",1970,186.48864,"Will"
"22",1971,345.02064,"Will"
"23",1972,243.50164,"Will"
"24",1973,154.77764,"Will"
"25",1974,309.54664,"Will"
"26",1975,293.42064,"Will"
"27",1976,198.89264,"Will"
"28",1977,147.02764,"Will"
"29",1978,227.47464,"Will"
"30",1979,154.16964,"Will"
"31",1980,183.32764,"Will"
"32",1981,136.61764,"Will"
"33",1982,297.62364,"Will"
"34",1983,365.21964,"Will"
"35",1984,327.30264,"Will"
"36",1985,245.74264,"Will"
"37",1986,229.40364,"Will"
"38",1987,164.36964,"Will"
"39",1988,142.34064,"Will"
"40",1989,241.62264,"Will"
"41",1990,134.39364,"Will"
"42",1991,128.50664,"Will"
"43",1992,100.49264,"Will"
"44",1993,262.44764,"Will"
"45",1994,107.69964,"Will"
"46",1995,228.16364,"Will"
"47",1996,225.24364,"Will"
"48",1997,201.36064,"Will"
"49",1998,303.07964,"Will"
"50",1999,325.13964,"Will"
"51",2000,215.94364,"Will"
"52",2001,134.87464,"Will"
"53",2002,159.96964,"Will"
"54",2003,172.33464,"Will"
"55",2004,144.03564,"Will"
"56",2005,173.75464,"Will"
"57",2006,304.77164,"Will"
"58",2007,157.98164,"Will"
"59",2008,214.69764,"Will"
"60",2009,169.41964,"Will"
"61",2010,159.08164,"Will"
"62",2011,259.59064,"Will"
"63",2012,194.47564,"Will"
"64",2013,153.12364,"Will"
"65",2014,133.28964,"Will"
"66",2015,128.18664,"Will"
"67",2016,165.88864,"Will"
