year,mo,dy,flow_cfs
1969,10,1,40.69
1969,10,2,41.28
1969,10,3,42.91
1969,10,4,45.12
1969,10,5,46.15
1969,10,6,43.35
1969,10,7,46.45
1969,10,8,47.92
1969,10,9,46.89
1969,10,10,48.21
1969,10,11,49.25
1969,10,12,50.72
1969,10,13,50.28
1969,10,14,48.07
1969,10,15,47.62
1969,10,16,49.39
1969,10,17,50.72
1969,10,18,52.05
1969,10,19,53.23
1969,10,20,53.23
1969,10,21,51.9
1969,10,22,50.57
1969,10,23,50.57
1969,10,24,49.84
1969,10,25,49.84
1969,10,26,49.25
1969,10,27,49.25
1969,10,28,49.25
1969,10,29,48.51
1969,10,30,48.51
1969,10,31,48.51
1969,11,1,63.63
1969,11,2,63.63
1969,11,3,63.63
1969,11,4,63.63
1969,11,5,66.34
1969,11,6,67.31
1969,11,7,70.79
1969,11,8,72.72
1969,11,9,69.82
1969,11,10,67.31
1969,11,11,67.31
1969,11,12,66.34
1969,11,13,66.34
1969,11,14,65.37
1969,11,15,65.37
1969,11,16,65.37
1969,11,17,63.63
1969,11,18,61.12
1969,11,19,60.73
1969,11,20,59.76
1969,11,21,60.54
1969,11,22,61.12
1969,11,23,61.12
1969,11,24,61.89
1969,11,25,60.92
1969,11,26,61.12
1969,11,27,60.73
1969,11,28,60.15
1969,11,29,58.99
1969,11,30,57.25
1969,12,1,0
1969,12,2,0
1969,12,3,0
1969,12,4,0
1969,12,5,0
1969,12,6,0
1969,12,7,0
1969,12,8,0
1969,12,9,0
1969,12,10,0
1969,12,11,0
1969,12,12,0
1969,12,13,0
1969,12,14,0
1969,12,15,0
1969,12,16,0
1969,12,17,0
1969,12,18,0
1969,12,19,0
1969,12,20,0
1969,12,21,0
1969,12,22,0
1969,12,23,0
1969,12,24,0
1969,12,25,0
1969,12,26,0
1969,12,27,0
1969,12,28,0
1969,12,29,0
1969,12,30,0
1969,12,31,0
1970,1,1,61.17
1970,1,2,62.74
1970,1,3,55.42
1970,1,4,56.2
1970,1,5,53.59
1970,1,6,56.2
1970,1,7,60.12
1970,1,8,57.51
1970,1,9,56.2
1970,1,10,54.9
1970,1,11,59.08
1970,1,12,64.18
1970,1,13,71.89
1970,1,14,79.6
1970,1,15,103.39
1970,1,16,150.31
1970,1,17,196.05
1970,1,18,218.27
1970,1,19,228.73
1970,1,20,243.11
1970,1,21,253.56
1970,1,22,264.02
1970,1,23,266.63
1970,1,24,316.3
1970,1,25,431.32
