year,mo,dy,flow_cfs
1969,10,1,5.54
1969,10,2,5.62
1969,10,3,5.84
1969,10,4,6.14
1969,10,5,6.28
1969,10,6,5.9
1969,10,7,6.32
1969,10,8,6.52
1969,10,9,6.38
1969,10,10,6.56
1969,10,11,6.7
1969,10,12,6.9
1969,10,13,6.84
1969,10,14,6.54
1969,10,15,6.48
1969,10,16,6.72
1969,10,17,6.9
1969,10,18,7.08
1969,10,19,7.24
1969,10,20,7.24
1969,10,21,7.06
1969,10,22,6.88
1969,10,23,6.88
1969,10,24,6.78
1969,10,25,6.78
1969,10,26,6.7
1969,10,27,6.7
1969,10,28,6.7
1969,10,29,6.6
1969,10,30,6.6
1969,10,31,6.6
1969,11,1,18.02
1969,11,2,18.02
1969,11,3,18.02
1969,11,4,18.02
1969,11,5,18.79
1969,11,6,19.06
1969,11,7,20.05
1969,11,8,20.59
1969,11,9,19.77
1969,11,10,19.06
1969,11,11,19.06
1969,11,12,18.79
1969,11,13,18.79
1969,11,14,18.51
1969,11,15,18.51
1969,11,16,18.51
1969,11,17,18.02
1969,11,18,17.31
1969,11,19,17.2
1969,11,20,16.92
1969,11,21,17.14
1969,11,22,17.31
1969,11,23,17.31
1969,11,24,17.53
1969,11,25,17.25
1969,11,26,17.31
1969,11,27,17.2
1969,11,28,17.03
1969,11,29,16.7
1969,11,30,16.21
1969,12,1,5.8
1969,12,2,6.47
1969,12,3,6.62
1969,12,4,6.6
1969,12,5,6.25
1969,12,6,6.49
1969,12,7,6.08
1969,12,8,6.31
1969,12,9,6.31
1969,12,10,6.39
1969,12,11,6.49
1969,12,12,6.72
1969,12,13,7.29
1969,12,14,8.62
1969,12,15,10.17
1969,12,16,10.03
1969,12,17,9.33
1969,12,18,8.6
1969,12,19,8.23
1969,12,20,8.72
1969,12,21,11.56
1969,12,22,15.44
1969,12,23,19.79
1969,12,24,24.89
1969,12,25,29.01
1969,12,26,24.5
1969,12,27,16.52
1969,12,28,14.35
1969,12,29,12.17
1969,12,30,10.15
1969,12,31,9.43
1970,1,1,24.77
1970,1,2,25.4
1970,1,3,22.44
1970,1,4,22.76
1970,1,5,21.7
1970,1,6,22.76
1970,1,7,24.34
1970,1,8,23.29
1970,1,9,22.76
1970,1,10,22.23
1970,1,11,23.92
1970,1,12,25.98
1970,1,13,29.11
1970,1,14,32.23
1970,1,15,41.86
1970,1,16,60.86
1970,1,17,79.38
1970,1,18,88.38
1970,1,19,92.61
1970,1,20,98.43
1970,1,21,102.67
1970,1,22,106.9
1970,1,23,107.96
1970,1,24,128.07
1970,1,25,174.64
1970,1,26,270.43
1970,1,27,357.75
1970,1,28,315.94
1970,1,29,240.26
1970,1,30,199.51
1970,1,31,160.35
1970,2,1,834.01
1970,2,2,670.69
1970,2,3,569.91
1970,2,4,510.83
1970,2,5,472.61
1970,2,6,448.28
1970,2,7,430.91
1970,2,8,420.48
1970,2,9,437.86
1970,2,10,458.71
1970,2,11,469.13
1970,2,12,469.13
1970,2,13,465.66
1970,2,14,479.56
1970,2,15,500.41
1970,2,16,483.03
1970,2,17,458.71
1970,2,18,448.28
1970,2,19,448.28
1970,2,20,441.33
1970,2,21,413.53
1970,2,22,364.88
1970,2,23,332.56
1970,2,24,321.79
1970,2,25,310.32
1970,2,26,296.77
1970,2,27,287.04
1970,2,28,287.39
1970,3,1,577.91
1970,3,2,598.34
1970,3,3,635.09
1970,3,4,657.56
1970,3,5,660.28
1970,3,6,674.57
1970,3,7,769.19
1970,3,8,844.07
