year,mo,dy,flow_cfs
1950,1,1,245.01
1950,1,2,235.01
1950,1,3,175.01
1950,1,4,230.01
1950,1,5,200.01
1950,1,6,235.01
1950,1,7,235.01
1950,1,8,235.01
1950,1,9,230.01
1950,1,10,235.01
1950,1,11,165.01
1950,1,12,160.01
1950,1,13,160.01
1950,1,14,160.01
1950,1,15,225.01
1950,1,16,195.01
1950,1,17,230.01
1950,1,18,320.01
1950,1,19,325.01
1950,1,20,330.01
1950,1,21,380.01
1950,1,22,420.01
1950,1,23,475.01
1950,1,24,525.01
1950,1,25,610.01
1950,1,26,635.01
1950,1,27,570.01
1950,1,28,530.01
1950,1,29,420.01
1950,1,30,435.01
1950,1,31,320.01
1950,2,1,309.08
1950,2,2,269.08
1950,2,3,269.08
1950,2,4,289.08
1950,2,5,289.08
1950,2,6,309.08
1950,2,7,329.08
1950,2,8,389.08
1950,2,9,469.08
1950,2,10,499.08
1950,2,11,429.08
1950,2,12,389.08
1950,2,13,378.08
1950,2,14,363.08
1950,2,15,363.08
1950,2,16,405.08
1950,2,17,551.08
1950,2,18,745.08
1950,2,19,864.08
1950,2,20,843.08
1950,2,21,703.08
1950,2,22,617.08
1950,2,23,539.08
1950,2,24,521.08
1950,2,25,581.08
1950,2,26,659.08
1950,2,27,780.08
1950,2,28,907.08
1950,3,1,1020.05
1950,3,2,1050.05
1950,3,3,1040.05
1950,3,4,1000.05
1950,3,5,1000.05
1950,3,6,1050.05
1950,3,7,1090.05
1950,3,8,1120.05
1950,3,9,1080.05
1950,3,10,916.05
1950,3,11,774.05
1950,3,12,678.05
1950,3,13,624.05
1950,3,14,552.05
1950,3,15,522.05
1950,3,16,528.05
1950,3,17,552.05
1950,3,18,582.05
1950,3,19,672.05
1950,3,20,795.05
1950,3,21,844.05
1950,3,22,865.05
1950,3,23,872.05
1950,3,24,932.05
1950,3,25,1080.05
1950,3,26,1110.05
1950,3,27,948.05
1950,3,28,823.05
1950,3,29,760.05
1950,3,30,690.05
1950,3,31,618.05
1950,4,1,704.62
1950,4,2,840.62
1950,4,3,994.62
1950,4,4,1058.62
1950,4,5,1098.62
1950,4,6,1118.62
1950,4,7,1118.62
1950,4,8,1138.62
1950,4,9,1158.62
1950,4,10,1178.62
1950,4,11,1158.62
1950,4,12,1078.62
1950,4,13,1002.62
1950,4,14,954.62
1950,4,15,970.62
1950,4,16,1010.62
1950,4,17,1018.62
1950,4,18,1002.62
1950,4,19,1010.62
1950,4,20,1038.62
1950,4,21,1078.62
1950,4,22,1108.62
1950,4,23,1118.62
1950,4,24,1158.62
1950,4,25,1198.62
1950,4,26,1238.62
1950,4,27,1258.62
1950,4,28,1238.62
1950,4,29,1208.62
1950,4,30,1198.62
1950,5,1,1261.29
1950,5,2,1261.29
1950,5,3,1231.29
1950,5,4,1231.29
1950,5,5,1261.29
1950,5,6,1301.29
1950,5,7,1311.29
1950,5,8,1261.29
1950,5,9,1161.29
1950,5,10,1057.29
1950,5,11,987.29
1950,5,12,931.29
1950,5,13,882.29
1950,5,14,833.29
1950,5,15,773.29
1950,5,16,854.29
1950,5,17,931.29
1950,5,18,1041.29
1950,5,19,1131.29
1950,5,20,1211.29
1950,5,21,1291.29
1950,5,22,1381.29
1950,5,23,1401.29
1950,5,24,1381.29
1950,5,25,1321.29
1950,5,26,1301.29
1950,5,27,1401.29
1950,5,28,1341.29
1950,5,29,1311.29
1950,5,30,1291.29
1950,5,31,1211.29
1950,6,1,1159.03
1950,6,2,1097.03
1950,6,3,1129.03
1950,6,4,1121.03
1950,6,5,1035.03
1950,6,6,972.03
1950,6,7,853.03
1950,6,8,773.03
1950,6,9,785.03
1950,6,10,791.03
1950,6,11,773.03
1950,6,12,743.03
1950,6,13,743.03
1950,6,14,767.03
1950,6,15,853.03
1950,6,16,972.03
1950,6,17,1014.03
1950,6,18,958.03
1950,6,19,895.03
1950,6,20,881.03
1950,6,21,846.03
1950,6,22,791.03
1950,6,23,737.03
1950,6,24,677.03
1950,6,25,647.03
1950,6,26,605.03
1950,6,27,577.03
1950,6,28,502.03
1950,6,29,497.03
1950,6,30,497.03
1950,7,1,571.13
1950,7,2,566.13
1950,7,3,566.13
1950,7,4,556.13
1950,7,5,536.13
1950,7,6,472.13
1950,7,7,447.13
1950,7,8,447.13
1950,7,9,456.13
1950,7,10,460.13
1950,7,11,456.13
1950,7,12,460.13
1950,7,13,464.13
1950,7,14,468.13
1950,7,15,460.13
1950,7,16,460.13
1950,7,17,451.13
1950,7,18,447.13
1950,7,19,447.13
1950,7,20,443.13
1950,7,21,443.13
1950,7,22,439.13
1950,7,23,439.13
1950,7,24,460.13
1950,7,25,439.13
1950,7,26,421.13
1950,7,27,417.13
1950,7,28,413.13
1950,7,29,410.13
1950,7,30,410.13
1950,7,31,406.13
1950,8,1,364.45
1950,8,2,367.45
1950,8,3,364.45
1950,8,4,357.45
1950,8,5,350.45
1950,8,6,357.45
1950,8,7,422.45
1950,8,8,389.45
1950,8,9,378.45
1950,8,10,378.45
1950,8,11,375.45
1950,8,12,375.45
1950,8,13,378.45
1950,8,14,382.45
1950,8,15,382.45
1950,8,16,382.45
1950,8,17,385.45
1950,8,18,382.45
1950,8,19,375.45
1950,8,20,378.45
1950,8,21,385.45
1950,8,22,389.45
1950,8,23,385.45
1950,8,24,382.45
1950,8,25,350.45
1950,8,26,353.45
1950,8,27,360.45
1950,8,28,357.45
1950,8,29,357.45
1950,8,30,360.45
1950,8,31,360.45
1950,9,1,289.83
1950,9,2,297.83
1950,9,3,282.83
1950,9,4,300.83
1950,9,5,300.83
1950,9,6,297.83
1950,9,7,294.83
1950,9,8,289.83
1950,9,9,293.83
1950,9,10,300.83
1950,9,11,315.83
1950,9,12,315.83
1950,9,13,315.83
1950,9,14,315.83
1950,9,15,311.83
1950,9,16,311.83
1950,9,17,336.83
1950,9,18,379.83
1950,9,19,327.83
1950,9,20,323.83
1950,9,21,319.83
1950,9,22,323.83
1950,9,23,323.83
1950,9,24,327.83
1950,9,25,336.83
1950,9,26,340.83
1950,9,27,340.83
