year,mo,dy,flow_cfs
1950,1,1,358.99
1950,1,2,361.99
1950,1,3,361.99
1950,1,4,359.99
1950,1,5,361.99
1950,1,6,361.99
1950,1,7,361.99
1950,1,8,361.99
1950,1,9,359.99
1950,1,10,361.99
1950,1,11,359.99
1950,1,12,358.99
1950,1,13,358.99
1950,1,14,358.99
1950,1,15,357.99
1950,1,16,359.99
1950,1,17,359.99
1950,1,18,357.99
1950,1,19,359.99
1950,1,20,361.99
1950,1,21,359.99
1950,1,22,359.99
1950,1,23,360.99
1950,1,24,358.99
1950,1,25,361.99
1950,1,26,360.99
1950,1,27,361.99
1950,1,28,361.99
1950,1,29,359.99
1950,1,30,360.99
1950,1,31,357.99
1950,2,1,359.87
1950,2,2,361.87
1950,2,3,361.87
1950,2,4,357.87
1950,2,5,357.87
1950,2,6,359.87
1950,2,7,361.87
1950,2,8,357.87
1950,2,9,357.87
1950,2,10,359.87
1950,2,11,357.87
1950,2,12,357.87
1950,2,13,352.87
1950,2,14,359.87
1950,2,15,359.87
1950,2,16,365.87
1950,2,17,355.87
1950,2,18,373.87
1950,2,19,404.87
1950,2,20,395.87
1950,2,21,375.87
1950,2,22,369.87
1950,2,23,375.87
1950,2,24,361.87
1950,2,25,373.87
1950,2,26,389.87
1950,2,27,398.87
1950,2,28,401.87
1950,3,1,409.95
1950,3,2,429.95
1950,3,3,419.95
1950,3,4,429.95
1950,3,5,519.95
1950,3,6,639.95
1950,3,7,669.95
1950,3,8,679.95
1950,3,9,679.95
1950,3,10,673.95
1950,3,11,665.95
1950,3,12,661.95
1950,3,13,675.95
1950,3,14,677.95
1950,3,15,657.95
1950,3,16,671.95
1950,3,17,687.95
1950,3,18,687.95
1950,3,19,717.95
1950,3,20,734.95
1950,3,21,735.95
1950,3,22,754.95
1950,3,23,737.95
1950,3,24,747.95
1950,3,25,759.95
1950,3,26,759.95
1950,3,27,741.95
1950,3,28,706.95
1950,3,29,719.95
1950,3,30,719.95
1950,3,31,721.95
1950,4,1,715.67
1950,4,2,709.67
1950,4,3,715.67
1950,4,4,741.67
1950,4,5,761.67
1950,4,6,761.67
1950,4,7,741.67
1950,4,8,761.67
1950,4,9,781.67
1950,4,10,761.67
1950,4,11,751.67
1950,4,12,741.67
1950,4,13,727.67
1950,4,14,695.67
1950,4,15,689.67
1950,4,16,689.67
1950,4,17,681.67
1950,4,18,687.67
1950,4,19,699.67
1950,4,20,701.67
1950,4,21,701.67
1950,4,22,691.67
1950,4,23,701.67
1950,4,24,681.67
1950,4,25,681.67
1950,4,26,671.67
1950,4,27,681.67
1950,4,28,701.67
1950,4,29,691.67
1950,4,30,681.67
1950,5,1,671.29
1950,5,2,661.29
1950,5,3,661.29
1950,5,4,641.29
1950,5,5,631.29
1950,5,6,621.29
1950,5,7,611.29
1950,5,8,611.29
1950,5,9,591.29
1950,5,10,585.29
