year,mo,dy,flow_cfs
1970,1,1,961.64
1970,1,2,1489.34
1970,1,3,1733.54
1970,1,4,1796.27
1970,1,5,1747.32
1970,1,6,1633.83
1970,1,7,1486.25
1970,1,8,1324.89
1970,1,9,1164.34
1970,1,10,1012.01
1970,1,11,871.38
1970,1,12,744.73
1970,1,13,632.64
1970,1,14,535.21
1970,1,15,451.55
1970,1,16,380.26
1970,1,17,319.73
1970,1,18,268.93
1970,1,19,225.98
1970,1,20,190.08
1970,1,21,160.11
1970,1,22,135.6
1970,1,23,168.1
1970,1,24,264.16
1970,1,25,331.07
1970,1,26,364.12
1970,1,27,387.91
1970,1,28,417.01
1970,1,29,425.42
1970,1,30,411.31
1970,1,31,384.48
1970,2,1,351.2
1970,2,2,315.56
1970,2,3,280.4
1970,2,4,247.19
1970,2,5,216.63
1970,2,6,189.05
1970,2,7,164.55
1970,2,8,143.2
1970,2,9,124.79
1970,2,10,109.24
1970,2,11,96.12
1970,2,12,86.12
1970,2,13,77.91
1970,2,14,73
1970,2,15,68.2
1970,2,16,63.7
1970,2,17,59.61
1970,2,18,55.89
1970,2,19,52.53
1970,2,20,49.34
1970,2,21,46.5
1970,2,22,43.84
1970,2,23,41.6
1970,2,24,39.7
1970,2,25,38.06
1970,2,26,36.6
1970,2,27,35.66
1970,2,28,35.04
1970,3,1,35.31
1970,3,2,35.3
1970,3,3,35.03
1970,3,4,35.02
1970,3,5,34.32
1970,3,6,33.3
1970,3,7,33.04
1970,3,8,45.89
1970,3,9,80.28
1970,3,10,108.33
1970,3,11,121.82
1970,3,12,132.93
1970,3,13,134.63
1970,3,14,130.82
1970,3,15,123.98
1970,3,16,115.7
1970,3,17,106.49
1970,3,18,97.18
1970,3,19,88
1970,3,20,79.07
1970,3,21,70.83
1970,3,22,63.92
1970,3,23,56.94
1970,3,24,50.7
1970,3,25,45.96
1970,3,26,41.17
1970,3,27,36.85
1970,3,28,34.49
1970,3,29,31.42
1970,3,30,30.5
1970,3,31,27.97
1970,4,1,24.51
1970,4,2,22.06
1970,4,3,20.9
1970,4,4,17.3
1970,4,5,13.88
1970,4,6,13.48
1970,4,7,13.97
1970,4,8,12.65
1970,4,9,12.73
1970,4,10,15.2
1970,4,11,15.38
1970,4,12,15.03
1970,4,13,16.9
1970,4,14,19.17
1970,4,15,22.4
1970,4,16,24.64
1970,4,17,24.85
1970,4,18,24.49
1970,4,19,25.54
1970,4,20,25.05
1970,4,21,25.16
1970,4,22,24.7
1970,4,23,23.22
1970,4,24,23.55
1970,4,25,23.23
1970,4,26,24.11
1970,4,27,24.97
1970,4,28,24.48
1970,4,29,23.42
1970,4,30,21.52
1970,5,1,18.93
1970,5,2,16.68
1970,5,3,18.27
1970,5,4,17.85
1970,5,5,16.54
1970,5,6,16.18
1970,5,7,15.89
1970,5,8,17.23
1970,5,9,19.07
1970,5,10,20.37
1970,5,11,21.37
1970,5,12,21.24
1970,5,13,20.55
1970,5,14,19.83
1970,5,15,19.07
1970,5,16,16.05
1970,5,17,14.09
1970,5,18,10.69
1970,5,19,8.13
1970,5,20,6.19
1970,5,21,4.71
1970,5,22,3.59
1970,5,23,2.74
1970,5,24,2.08
1970,5,25,1.59
1970,5,26,1.21
1970,5,27,0.92
1970,5,28,0.7
1970,5,29,0.53
1970,5,30,0.4
1970,5,31,0.3
1970,6,1,0.22
1970,6,2,0.16
1970,6,3,0.11
1970,6,4,0.08
1970,6,5,0.05
1970,6,6,0.03
1970,6,7,0.02
1970,6,8,0.46
1970,6,9,3.55
1970,6,10,5.18
1970,6,11,8.27
1970,6,12,10.5
1970,6,13,13.88
1970,6,14,15.3
1970,6,15,15.02
1970,6,16,11.36
1970,6,17,9.33
1970,6,18,7.09
1970,6,19,5.4
1970,6,20,4.12
1970,6,21,3.14
1970,6,22,2.4
1970,6,23,1.83
1970,6,24,1.4
1970,6,25,1.07
1970,6,26,0.82
1970,6,27,0.63
1970,6,28,3.21
1970,6,29,6.62
1970,6,30,4.97
1970,7,1,3.76
1970,7,2,2.86
1970,7,3,2.17
1970,7,4,1.65
1970,7,5,1.25
1970,7,6,0.95
1970,7,7,0.72
1970,7,8,0.54
1970,7,9,0.41
1970,7,10,0.31
1970,7,11,0.24
1970,7,12,0.18
1970,7,13,0.14
1970,7,14,0.11
1970,7,15,0.08
1970,7,16,0.06
1970,7,17,0.05
1970,7,18,0.04
1970,7,19,0.03
1970,7,20,0.02
1970,7,21,0.02
1970,7,22,0.01
1970,7,23,0
1970,7,24,0
1970,7,25,0
1970,7,26,0
1970,7,27,0
1970,7,28,0
1970,7,29,0
1970,7,30,0
1970,7,31,0
1970,8,1,0
1970,8,2,0
1970,8,3,0
1970,8,4,0
1970,8,5,0
1970,8,6,0
1970,8,7,0
1970,8,8,0
1970,8,9,0
1970,8,10,0
1970,8,11,0
1970,8,12,0
1970,8,13,0
1970,8,14,0
1970,8,15,0
1970,8,16,0
1970,8,17,0
1970,8,18,0
1970,8,19,0
1970,8,20,0
1970,8,21,0
1970,8,22,0
1970,8,23,0
1970,8,24,0
1970,8,25,0
1970,8,26,0
1970,8,27,0
1970,8,28,0
1970,8,29,0
1970,8,30,0
1970,8,31,0
1970,9,1,0
1970,9,2,0
1970,9,3,0
1970,9,4,0
1970,9,5,1.34
1970,9,6,1
1970,9,7,0.75
1970,9,8,0.57
1970,9,9,0.44
1970,9,10,0.33
1970,9,11,0.25
1970,9,12,0.19
1970,9,13,0.15
1970,9,14,0.11
1970,9,15,0.09
1970,9,16,0.07
1970,9,17,0.05
1970,9,18,0.04
1970,9,19,1.5
1970,9,20,3.33
1970,9,21,3.5
1970,9,22,2.64
1970,9,23,2.29
1970,9,24,1.74
1970,9,25,1.32
1970,9,26,1.01
1970,9,27,0.77
1970,9,28,0.59
1970,9,29,0.45
1970,9,30,0.34
1970,10,1,0.26
1970,10,2,0.2
1970,10,3,0.15
1970,10,4,0.12
1970,10,5,0.09
1970,10,6,0.39
1970,10,7,1.61
1970,10,8,1.2
1970,10,9,0.91
1970,10,10,0.69
1970,10,11,0.53
1970,10,12,1.43
1970,10,13,1.07
1970,10,14,0.81
1970,10,15,1.38
1970,10,16,1.04
1970,10,17,2.18
1970,10,18,5.39
1970,10,19,8.86
1970,10,20,11.99
1970,10,21,15.45
1970,10,22,18.35
1970,10,23,20.9
1970,10,24,22.86
1970,10,25,24.39
1970,10,26,25.61
1970,10,27,27.19
1970,10,28,28.1
1970,10,29,28.68
1970,10,30,29.1
1970,10,31,29.26
1970,11,1,29.09
1970,11,2,28.84
1970,11,3,28.5
1970,11,4,28.56
1970,11,5,28.61
1970,11,6,33.45
1970,11,7,45.24
1970,11,8,59.42
1970,11,9,96.23
1970,11,10,161.82
1970,11,11,215.43
1970,11,12,266.67
1970,11,13,311.62
1970,11,14,334.02
1970,11,15,332.89
1970,11,16,317.8
1970,11,17,294.96
1970,11,18,268.55
1970,11,19,241.36
1970,11,20,214.75
1970,11,21,190
1970,11,22,167.8
1970,11,23,148.24
1970,11,24,131.17
1970,11,25,162.36
1970,11,26,219.04
1970,11,27,253.26
1970,11,28,267.13
1970,11,29,287.1
1970,11,30,297.26
1970,12,1,296.22
1970,12,2,283.27
1970,12,3,263.77
1970,12,4,241.26
1970,12,5,218.01
1970,12,6,195.47
1970,12,7,178.39
1970,12,8,193.37
1970,12,9,212.98
1970,12,10,223.58
1970,12,11,221.99
1970,12,12,212.48
1970,12,13,198.7
1970,12,14,183
1970,12,15,166.91
1970,12,16,151.36
1970,12,17,136.87
1970,12,18,123.73
1970,12,19,111.95
1970,12,20,101.62
1970,12,21,92.73
1970,12,22,85.03
1970,12,23,78.4
1970,12,24,72.76
1970,12,25,68.04
1970,12,26,64.15
1970,12,27,60.83
1970,12,28,57.97
1970,12,29,55.73
1970,12,30,53.8
1970,12,31,52.11
1971,1,1,50.76
1971,1,2,49.72
1971,1,3,48.77
1971,1,4,48.13
1971,1,5,47.46
1971,1,6,46.98
1971,1,7,46.36
1971,1,8,45.67
1971,1,9,45.27
1971,1,10,45.03
1971,1,11,44.96
1971,1,12,44.81
1971,1,13,44.81
1971,1,14,44.68
1971,1,15,44.64
1971,1,16,44.5
1971,1,17,74.3
1971,1,18,133.04
1971,1,19,172.48
1971,1,20,194.15
1971,1,21,201.43
1971,1,22,198.4
1971,1,23,189.34
1971,1,24,177.01
1971,1,25,163.34
1971,1,26,149.46
1971,1,27,136.19
1971,1,28,123.91
1971,1,29,112.78
1971,1,30,102.95
1971,1,31,94.3
1971,2,1,86.9
1971,2,2,80.54
1971,2,3,75.14
1971,2,4,70.62
1971,2,5,66.77
1971,2,6,63.48
1971,2,7,60.69
1971,2,8,58.27
1971,2,9,56.13
1971,2,10,54.35
1971,2,11,52.81
1971,2,12,51.38
1971,2,13,50.35
1971,2,14,49.35
1971,2,15,48.66
1971,2,16,48.11
1971,2,17,47.85
1971,2,18,47.55
1971,2,19,47.29
1971,2,20,47.12
1971,2,21,46.66
1971,2,22,46.49
1971,2,23,46.13
1971,2,24,45.76
1971,2,25,45.39
1971,2,26,45.28
1971,2,27,45.3
1971,2,28,45.3
1971,3,1,45.01
1971,3,2,44.26
1971,3,3,43.79
1971,3,4,43.66
1971,3,5,43.24
1971,3,6,42.6
1971,3,7,42.53
1971,3,8,41.76
1971,3,9,41.37
1971,3,10,41.5
1971,3,11,41.59
1971,3,12,45.99
1971,3,13,74.45
1971,3,14,95.59
1971,3,15,105.95
1971,3,16,109.22
1971,3,17,108.04
1971,3,18,104.13
1971,3,19,98.36
1971,3,20,91.67
1971,3,21,85.5
1971,3,22,80.2
1971,3,23,98.23
1971,3,24,152.44
1971,3,25,196.27
1971,3,26,267.14
1971,3,27,400.73
1971,3,28,506.92
1971,3,29,548.7
1971,3,30,563.95
1971,3,31,548.42
1971,4,1,515.21
1971,4,2,472.72
1971,4,3,426.67
1971,4,4,380.85
1971,4,5,336.94
1971,4,6,296.6
1971,4,7,260.78
1971,4,8,229.3
1971,4,9,201.78
1971,4,10,178.57
1971,4,11,158.65
1971,4,12,141.36
1971,4,13,127.33
1971,4,14,115.71
1971,4,15,106.02
1971,4,16,97.71
1971,4,17,90.61
1971,4,18,85.29
1971,4,19,80.9
1971,4,20,76.91
1971,4,21,73.6
1971,4,22,70.78
1971,4,23,68.5
1971,4,24,66.79
1971,4,25,65.24
1971,4,26,63.74
1971,4,27,62.09
1971,4,28,60.33
1971,4,29,58.04
1971,4,30,55.49
1971,5,1,53.65
1971,5,2,52.11
1971,5,3,50.8
1971,5,4,50.75
1971,5,5,51.69
1971,5,6,51.58
1971,5,7,50.94
1971,5,8,50.96
1971,5,9,50.68
1971,5,10,48.61
1971,5,11,45.81
1971,5,12,44.1
1971,5,13,42.74
1971,5,14,41.19
1971,5,15,39.75
1971,5,16,39.2
1971,5,17,37.78
1971,5,18,35.02
1971,5,19,33.97
1971,5,20,30.95
1971,5,21,29.2
1971,5,22,26.1
1971,5,23,24.96
1971,5,24,23.76
1971,5,25,22.98
1971,5,26,24.67
1971,5,27,26.11
1971,5,28,27.51
1971,5,29,31.28
1971,5,30,33.17
1971,5,31,36.54
1971,6,1,45.8
1971,6,2,69.57
1971,6,3,92.67
1971,6,4,103.78
1971,6,5,105.79
1971,6,6,101.82
1971,6,7,94.57
1971,6,8,87.79
1971,6,9,80.85
1971,6,10,74.56
1971,6,11,64.48
1971,6,12,55.3
1971,6,13,50.44
1971,6,14,41.39
1971,6,15,32.83
1971,6,16,24.99
1971,6,17,19.05
1971,6,18,18.07
1971,6,19,17.64
1971,6,20,13.38
1971,6,21,10.17
1971,6,22,7.74
1971,6,23,5.9
1971,6,24,4.49
1971,6,25,9.12
1971,6,26,15.51
1971,6,27,18.13
1971,6,28,15.46
1971,6,29,11.67
1971,6,30,8.83
1971,7,1,6.7
1971,7,2,5.08
1971,7,3,3.86
1971,7,4,2.92
1971,7,5,2.22
1971,7,6,1.69
1971,7,7,1.28
1971,7,8,0.97
1971,7,9,0.74
1971,7,10,0.57
1971,7,11,0.92
1971,7,12,0.69
1971,7,13,0.52
1971,7,14,0.4
1971,7,15,0.3
1971,7,16,0.23
1971,7,17,0.18
1971,7,18,0.13
1971,7,19,0.09
1971,7,20,0.06
1971,7,21,0.04
1971,7,22,0.02
1971,7,23,0.02
1971,7,24,0.01
1971,7,25,0.01
1971,7,26,0.01
1971,7,27,0.01
1971,7,28,0
1971,7,29,0
1971,7,30,0
1971,7,31,0
1971,8,1,0
1971,8,2,0
1971,8,3,0
1971,8,4,0
1971,8,5,0
1971,8,6,0
1971,8,7,0
1971,8,8,0
1971,8,9,0
1971,8,10,0
1971,8,11,0
1971,8,12,0
1971,8,13,0
1971,8,14,0
1971,8,15,0
1971,8,16,0
1971,8,17,0
1971,8,18,0
1971,8,19,0
1971,8,20,0
1971,8,21,0.36
1971,8,22,0.27
1971,8,23,0.2
1971,8,24,0.15
1971,8,25,0.12
1971,8,26,0.09
1971,8,27,0.81
1971,8,28,0.61
1971,8,29,0.95
1971,8,30,0.72
1971,8,31,5.11
1971,9,1,6.3
1971,9,2,6.93
1971,9,3,7.4
1971,9,4,5.59
1971,9,5,4.24
1971,9,6,5.86
1971,9,7,4.43
1971,9,8,3.36
1971,9,9,2.56
1971,9,10,3.3
1971,9,11,2.49
1971,9,12,2.64
1971,9,13,2
1971,9,14,1.52
1971,9,15,1.16
1971,9,16,0.88
1971,9,17,1.01
1971,9,18,1.75
1971,9,19,1.32
1971,9,20,3.63
1971,9,21,5.28
1971,9,22,5.23
1971,9,23,4.68
1971,9,24,4.7
1971,9,25,9.68
1971,9,26,16.14
1971,9,27,23.22
1971,9,28,29.41
1971,9,29,46.7
1971,9,30,96.55
1971,10,1,141.12
1971,10,2,169.91
1971,10,3,180.82
1971,10,4,180.34
1971,10,5,172.97
1971,10,6,161.53
1971,10,7,149.36
1971,10,8,136.69
1971,10,9,123.24
1971,10,10,110.56
1971,10,11,100.1
1971,10,12,89.59
1971,10,13,80.63
1971,10,14,73.2
1971,10,15,69.24
1971,10,16,66.39
1971,10,17,63.71
1971,10,18,60.78
1971,10,19,57.57
1971,10,20,56.34
1971,10,21,54.75
1971,10,22,53.04
