year,mo,dy,flow_cfs
1970,1,1,231.99
1970,1,2,438.39
1970,1,3,578.16
1970,1,4,656.12
1970,1,5,685.07
1970,1,6,678.42
1970,1,7,647.72
1970,1,8,602.26
1970,1,9,548.95
1970,1,10,492.8
1970,1,11,437.17
1970,1,12,384.27
1970,1,13,335.41
1970,1,14,291.26
1970,1,15,252.06
1970,1,16,221.44
1970,1,17,207.91
1970,1,18,222.95
1970,1,19,244.57
1970,1,20,260.96
1970,1,21,282.19
1970,1,22,308.2
1970,1,23,350.82
1970,1,24,388.04
1970,1,25,409.81
1970,1,26,421.73
1970,1,27,424.83
1970,1,28,422.7
1970,1,29,408.54
1970,1,30,385.41
1970,1,31,356.7
1970,2,1,325.26
1970,2,2,293.21
1970,2,3,262.05
1970,2,4,232.77
1970,2,5,205.92
1970,2,6,181.77
1970,2,7,160.39
1970,2,8,145.91
1970,2,9,147.05
1970,2,10,152.06
1970,2,11,153.18
1970,2,12,150.38
1970,2,13,144.49
1970,2,14,136.61
1970,2,15,129.38
1970,2,16,121.38
1970,2,17,113.01
1970,2,18,109.22
1970,2,19,104.85
1970,2,20,99.71
1970,2,21,94.07
1970,2,22,88.25
1970,2,23,82.49
1970,2,24,76.98
1970,2,25,71.81
1970,2,26,67.08
1970,2,27,62.8
1970,2,28,59.02
1970,3,1,55.78
1970,3,2,52.99
1970,3,3,50.57
1970,3,4,48.5
1970,3,5,46.69
1970,3,6,45.08
1970,3,7,43.73
1970,3,8,59.55
1970,3,9,86.73
1970,3,10,114.2
1970,3,11,132.24
1970,3,12,152.65
1970,3,13,181.53
1970,3,14,212.43
1970,3,15,229.91
1970,3,16,235.31
1970,3,17,231.53
1970,3,18,221.46
1970,3,19,207.43
1970,3,20,191.31
1970,3,21,174.55
1970,3,22,158
1970,3,23,142.18
1970,3,24,127.56
1970,3,25,114.28
1970,3,26,102.54
1970,3,27,92.16
1970,3,28,83.19
1970,3,29,75.49
1970,3,30,68.96
1970,3,31,63.4
1970,4,1,58.45
1970,4,2,54.22
1970,4,3,50.72
1970,4,4,47.7
1970,4,5,44.96
1970,4,6,42.87
1970,4,7,41.22
1970,4,8,39.64
1970,4,9,38.23
1970,4,10,37.44
1970,4,11,36.86
1970,4,12,36.12
1970,4,13,35.77
1970,4,14,35.57
1970,4,15,35.4
1970,4,16,35.21
1970,4,17,34.84
1970,4,18,34.53
1970,4,19,34.45
1970,4,20,34.38
1970,4,21,34.25
1970,4,22,34.25
1970,4,23,34.32
1970,4,24,34.38
1970,4,25,34.38
1970,4,26,34.39
1970,4,27,34.35
1970,4,28,34.23
1970,4,29,34.03
1970,4,30,33.64
1970,5,1,33.6
1970,5,2,33.37
1970,5,3,33.02
1970,5,4,32.47
1970,5,5,32.02
1970,5,6,31.51
1970,5,7,31.06
1970,5,8,30.91
1970,5,9,31.03
1970,5,10,31.13
1970,5,11,31.27
1970,5,12,31.45
1970,5,13,31.51
1970,5,14,31.4
1970,5,15,31.02
1970,5,16,30.53
1970,5,17,30.01
1970,5,18,29.33
1970,5,19,28.71
1970,5,20,28.03
1970,5,21,27.24
1970,5,22,26.72
1970,5,23,26.24
1970,5,24,25.76
1970,5,25,25.3
1970,5,26,24.86
1970,5,27,24.53
1970,5,28,23.94
1970,5,29,23.39
1970,5,30,22.78
1970,5,31,22.12
1970,6,1,21.35
1970,6,2,21.01
1970,6,3,20.85
1970,6,4,20.75
1970,6,5,20.37
1970,6,6,20.46
1970,6,7,20.73
1970,6,8,21.39
1970,6,9,22.05
1970,6,10,22.61
1970,6,11,23.07
1970,6,12,23.4
1970,6,13,23.7
1970,6,14,23.93
1970,6,15,23.81
1970,6,16,23.59
1970,6,17,22.96
1970,6,18,22.14
1970,6,19,21.54
1970,6,20,20.59
1970,6,21,20.09
1970,6,22,19.25
1970,6,23,18.55
1970,6,24,17.98
1970,6,25,17.38
1970,6,26,17.49
1970,6,27,17.96
1970,6,28,18.65
1970,6,29,19.22
1970,6,30,19.11
1970,7,1,18.72
1970,7,2,18.51
1970,7,3,17.95
1970,7,4,17.41
1970,7,5,17.07
1970,7,6,16.66
1970,7,7,16.29
1970,7,8,15.88
1970,7,9,15.5
1970,7,10,15.57
1970,7,11,15.46
1970,7,12,15.26
1970,7,13,15.01
1970,7,14,14.74
1970,7,15,14.4
1970,7,16,14.31
1970,7,17,14.12
1970,7,18,14.32
1970,7,19,14.56
1970,7,20,14.56
1970,7,21,14.86
1970,7,22,14.82
1970,7,23,14.62
1970,7,24,14.4
1970,7,25,14.16
1970,7,26,14.04
1970,7,27,13.94
1970,7,28,13.9
1970,7,29,14.13
1970,7,30,14.01
1970,7,31,13.89
1970,8,1,13.92
1970,8,2,14.11
1970,8,3,13.96
1970,8,4,13.77
1970,8,5,13.59
1970,8,6,13.79
1970,8,7,13.7
1970,8,8,13.64
1970,8,9,13.58
1970,8,10,13.71
1970,8,11,13.52
1970,8,12,13.35
1970,8,13,13.14
1970,8,14,13.01
1970,8,15,13.15
1970,8,16,13.05
1970,8,17,12.91
1970,8,18,12.82
1970,8,19,13.08
1970,8,20,13.07
1970,8,21,13.34
1970,8,22,13.34
1970,8,23,13.21
1970,8,24,13.12
1970,8,25,13.07
1970,8,26,13.03
1970,8,27,13.26
1970,8,28,13.47
1970,8,29,13.64
1970,8,30,13.79
1970,8,31,13.66
1970,9,1,13.5
1970,9,2,13.31
1970,9,3,13.11
1970,9,4,13.46
1970,9,5,14.04
1970,9,6,14.5
1970,9,7,14.74
1970,9,8,14.9
1970,9,9,14.94
1970,9,10,14.73
1970,9,11,14.42
1970,9,12,14.14
1970,9,13,14.11
1970,9,14,14.02
1970,9,15,13.88
1970,9,16,13.69
1970,9,17,13.49
1970,9,18,13.38
1970,9,19,13.57
1970,9,20,13.83
1970,9,21,13.82
1970,9,22,13.63
1970,9,23,13.55
1970,9,24,13.47
1970,9,25,13.35
1970,9,26,13.12
1970,9,27,13.06
1970,9,28,12.79
1970,9,29,12.78
1970,9,30,12.64
1970,10,1,12.5
1970,10,2,12.51
1970,10,3,12.33
1970,10,4,12.26
1970,10,5,12.46
1970,10,6,12.73
1970,10,7,12.87
1970,10,8,12.83
1970,10,9,12.75
1970,10,10,12.73
1970,10,11,12.62
1970,10,12,12.75
1970,10,13,12.65
1970,10,14,12.73
1970,10,15,12.81
1970,10,16,12.76
1970,10,17,12.68
1970,10,18,12.85
1970,10,19,13.13
1970,10,20,13.44
1970,10,21,13.74
1970,10,22,13.96
1970,10,23,14.15
1970,10,24,14.34
1970,10,25,14.49
1970,10,26,14.61
1970,10,27,14.69
1970,10,28,14.73
1970,10,29,14.73
1970,10,30,14.7
1970,10,31,14.64
1970,11,1,14.54
1970,11,2,14.4
1970,11,3,14.26
1970,11,4,14.18
1970,11,5,14.13
1970,11,6,14.14
1970,11,7,16.96
1970,11,8,20.16
1970,11,9,34.35
1970,11,10,62.08
1970,11,11,94.59
1970,11,12,132.33
1970,11,13,171.08
1970,11,14,195.3
1970,11,15,205.87
1970,11,16,205.92
1970,11,17,198.58
1970,11,18,186.51
