year,mo,dy,flow_cfs
1970,1,1,3092.62
1970,1,2,4106.99
1970,1,3,4268.22
1970,1,4,4035.68
1970,1,5,3630.38
1970,1,6,3166.36
1970,1,7,2706.71
1970,1,8,2281.43
1970,1,9,1904.96
1970,1,10,1577.97
1970,1,11,1300.6
1970,1,12,1067.24
1970,1,13,893.32
1970,1,14,776.56
1970,1,15,680.15
1970,1,16,606.6
1970,1,17,562.08
1970,1,18,527.2
1970,1,19,494.36
1970,1,20,473.73
1970,1,21,483.73
1970,1,22,526.17
1970,1,23,577.46
1970,1,24,618.2
1970,1,25,636.39
1970,1,26,630.98
1970,1,27,610.7
1970,1,28,582.17
1970,1,29,549.8
1970,1,30,516.81
1970,1,31,484.81
1970,2,1,455.54
1970,2,2,428.69
1970,2,3,404.45
1970,2,4,384.67
1970,2,5,367.48
1970,2,6,352.77
1970,2,7,340.84
1970,2,8,348.04
1970,2,9,379.54
1970,2,10,424.36
1970,2,11,473.36
1970,2,12,512.27
1970,2,13,535.02
1970,2,14,543.62
1970,2,15,537.6
1970,2,16,522.73
1970,2,17,503.93
1970,2,18,482.52
1970,2,19,460.04
1970,2,20,437.08
1970,2,21,416.4
1970,2,22,396.08
1970,2,23,380.83
1970,2,24,368.64
1970,2,25,359.12
1970,2,26,371.27
1970,2,27,397.35
1970,2,28,450.8
1970,3,1,515.87
1970,3,2,560.96
1970,3,3,579
1970,3,4,578.38
1970,3,5,563.52
1970,3,6,541.53
1970,3,7,544.59
1970,3,8,585.91
1970,3,9,615.78
1970,3,10,623.73
1970,3,11,614.57
1970,3,12,596.41
1970,3,13,570.91
1970,3,14,560.57
1970,3,15,570.56
1970,3,16,578.77
1970,3,17,574.97
1970,3,18,558.2
1970,3,19,534.72
1970,3,20,506.86
1970,3,21,482.32
1970,3,22,458.69
1970,3,23,436.93
1970,3,24,417.3
1970,3,25,400.1
1970,3,26,384.97
1970,3,27,371.65
1970,3,28,359.11
1970,3,29,349.89
1970,3,30,344.18
1970,3,31,337.61
1970,4,1,332.2
1970,4,2,329.18
1970,4,3,326.18
1970,4,4,322.23
1970,4,5,318.99
1970,4,6,316.34
1970,4,7,314.63
1970,4,8,312.98
1970,4,9,312.6
1970,4,10,314.53
1970,4,11,339.25
1970,4,12,369.94
1970,4,13,387.66
1970,4,14,395.72
1970,4,15,396.47
1970,4,16,392.42
1970,4,17,385.36
1970,4,18,377.36
1970,4,19,368.67
1970,4,20,360.41
1970,4,21,352.04
1970,4,22,344.18
1970,4,23,338.13
1970,4,24,332.81
1970,4,25,329.93
1970,4,26,327.55
1970,4,27,324.78
1970,4,28,321.71
1970,4,29,318.52
1970,4,30,315.41
1970,5,1,345.79
1970,5,2,380.95
1970,5,3,403
1970,5,4,411.45
1970,5,5,410.67
1970,5,6,403.6
1970,5,7,394.55
1970,5,8,384.85
1970,5,9,386.18
1970,5,10,399.38
1970,5,11,404.27
1970,5,12,402.67
1970,5,13,396.56
1970,5,14,387.14
1970,5,15,379.76
1970,5,16,368.69
1970,5,17,357.31
1970,5,18,346.74
1970,5,19,336.24
1970,5,20,328.29
1970,5,21,320.07
1970,5,22,313.83
1970,5,23,307.51
1970,5,24,302.52
1970,5,25,298.4
1970,5,26,293.36
1970,5,27,290.02
1970,5,28,289.1
1970,5,29,288.49
1970,5,30,288.03
1970,5,31,285.68
1970,6,1,283.78
1970,6,2,280.81
1970,6,3,277.86
1970,6,4,276.86
1970,6,5,276.19
1970,6,6,275.66
1970,6,7,275.29
1970,6,8,276.39
1970,6,9,278.82
1970,6,10,281.88
1970,6,11,283.35
1970,6,12,283.8
1970,6,13,283.96
1970,6,14,286.45
1970,6,15,292.65
1970,6,16,295.26
1970,6,17,294.8
1970,6,18,291.02
1970,6,19,287.19
1970,6,20,282.99
1970,6,21,279.55
1970,6,22,276.48
1970,6,23,273.81
1970,6,24,271.66
1970,6,25,269.82
1970,6,26,268.35
1970,6,27,269.36
1970,6,28,269.75
1970,6,29,271.64
1970,6,30,271.3
1970,7,1,269.04
