year,mo,dy,flow_cfs
1970,1,1,5532.12
1970,1,2,7853.26
1970,1,3,8551.25
1970,1,4,8378.92
1970,1,5,7759.23
1970,1,6,6938.61
1970,1,7,6062.82
1970,1,8,5214.2
1970,1,9,4436.7
1970,1,10,3745.16
1970,1,11,3145.49
1970,1,12,2630.87
1970,1,13,2216.23
1970,1,14,1900.97
1970,1,15,1645.46
1970,1,16,1438.59
1970,1,17,1292.72
1970,1,18,1306.5
1970,1,19,1392.7
1970,1,20,1469.22
1970,1,21,1530.28
1970,1,22,1728.61
1970,1,23,2089.87
1970,1,24,2439.58
1970,1,25,2643.45
1970,1,26,2707.19
1970,1,27,2677.29
1970,1,28,2610.09
1970,1,29,2506.35
1970,1,30,2372.85
1970,1,31,2228.94
1970,2,1,2087.53
1970,2,2,1954.27
1970,2,3,1832.74
1970,2,4,1726.69
1970,2,5,1633.37
1970,2,6,1552.28
1970,2,7,1482.35
1970,2,8,1439.43
1970,2,9,1427.11
1970,2,10,1435.29
1970,2,11,1471.52
1970,2,12,1531.87
1970,2,13,1585.69
1970,2,14,1619.95
1970,2,15,1619.55
1970,2,16,1596.55
1970,2,17,1559.78
1970,2,18,1518.82
1970,2,19,1472.6
1970,2,20,1422.49
1970,2,21,1376.01
1970,2,22,1330.12
1970,2,23,1291.97
1970,2,24,1258.12
1970,2,25,1226.84
1970,2,26,1220.24
1970,2,27,1229.14
1970,2,28,1292.24
1970,3,1,1438.34
1970,3,2,1547.16
1970,3,3,1599.24
1970,3,4,1607.78
1970,3,5,1583.5
1970,3,6,1541.16
1970,3,7,1559.68
1970,3,8,1684.96
1970,3,9,1773.07
1970,3,10,1805.42
1970,3,11,1794.23
1970,3,12,1795.38
1970,3,13,1878.16
1970,3,14,2024.62
1970,3,15,2202.11
1970,3,16,2304.91
1970,3,17,2330.86
1970,3,18,2297.29
1970,3,19,2221.12
1970,3,20,2124.34
1970,3,21,2020.89
1970,3,22,1920.48
1970,3,23,1824.45
1970,3,24,1732.38
1970,3,25,1653.44
1970,3,26,1585.35
1970,3,27,1524.53
1970,3,28,1469.41
1970,3,29,1426.07
1970,3,30,1390.57
1970,3,31,1355.48
1970,4,1,1322.98
1970,4,2,1296.92
1970,4,3,1271.52
1970,4,4,1247.33
1970,4,5,1226.1
1970,4,6,1207.36
1970,4,7,1192.67
1970,4,8,1177.2
1970,4,9,1163.92
1970,4,10,1156.35
1970,4,11,1174.13
1970,4,12,1192.7
1970,4,13,1206.68
1970,4,14,1208.8
1970,4,15,1199.38
1970,4,16,1185.1
1970,4,17,1166.53
1970,4,18,1147.21
1970,4,19,1133.86
1970,4,20,1118.2
1970,4,21,1098.83
1970,4,22,1079.02
1970,4,23,1063.78
1970,4,24,1052.31
1970,4,25,1042.11
1970,4,26,1035.27
1970,4,27,1025.53
1970,4,28,1013.88
1970,4,29,1000.64
1970,4,30,986.33
1970,5,1,1007.6
1970,5,2,1034.57
1970,5,3,1048.4
1970,5,4,1048.58
1970,5,5,1039.72
1970,5,6,1025.18
1970,5,7,1008.33
1970,5,8,991.84
1970,5,9,990.06
1970,5,10,999.16
1970,5,11,1001.7
1970,5,12,993.74
1970,5,13,980.83
1970,5,14,964.86
1970,5,15,953.34
1970,5,16,938.79
1970,5,17,922.08
1970,5,18,905.01
1970,5,19,887.29
1970,5,20,871.74
1970,5,21,854.85
1970,5,22,840.5
1970,5,23,826.06
1970,5,24,812.91
1970,5,25,799.67
1970,5,26,786.96
1970,5,27,776.33
1970,5,28,769.31
1970,5,29,762.56
1970,5,30,755.64
1970,5,31,745.22
1970,6,1,736.39
1970,6,2,726.67
1970,6,3,717.62
1970,6,4,710.42
1970,6,5,704.28
1970,6,6,698.83
1970,6,7,693.82
1970,6,8,691.25
1970,6,9,690.77
1970,6,10,691.43
1970,6,11,690.14
1970,6,12,687.39
1970,6,13,684.78
1970,6,14,683.71
1970,6,15,688.02
1970,6,16,688.04
1970,6,17,683.93
1970,6,18,675.53
1970,6,19,666.32
1970,6,20,655.34
1970,6,21,646.22
1970,6,22,637.16
1970,6,23,628.61
1970,6,24,620.57
1970,6,25,612.95
1970,6,26,606.71
1970,6,27,604.45
1970,6,28,602.26
1970,6,29,600.84
1970,6,30,596.03
1970,7,1,589.1
