year,mo,dy,flow_cfs
1981,10,1,530.211
1981,11,1,234.191
1981,12,1,998.096
1982,1,1,253.49
1982,2,1,687.469
1982,3,1,617.19
1982,4,1,159.544
1982,5,1,130.042
1982,6,1,99.487
1982,7,1,75.5468
1982,8,1,66.3581
1982,9,1,82.711
1982,10,1,99.1703
1982,11,1,112.432
1982,12,1,219.965
1983,1,1,202.311
1983,2,1,341.929
1983,3,1,1936.49
1983,4,1,769.67
1983,5,1,208.373
1983,6,1,143.289
1983,7,1,110.635
1983,8,1,97.6897
1983,9,1,100.976
1983,10,1,110.053
1983,11,1,238.834
1983,12,1,364.88
1984,1,1,148.101
1984,2,1,123.473
1984,3,1,202.308
1984,4,1,195.358
1984,5,1,152.978
1984,6,1,87.3343
1984,7,1,47.769
1984,8,1,48.4929
1984,9,1,71.896
1984,10,1,92.9197
1984,11,1,288.177
1984,12,1,108.905
1985,1,1,91.6926
1985,2,1,81.4832
1985,3,1,75.7445
1985,4,1,142.225
1985,5,1,41.3481
1985,6,1,20.373
1985,7,1,2.97355
1985,8,1,7.63226
1985,9,1,95.9477
1985,10,1,55.8939
1985,11,1,62.682
1985,12,1,57.8277
1986,1,1,75.0603
1986,2,1,359.265
1986,3,1,1448.83
1986,4,1,164.992
1986,5,1,126.777
1986,6,1,82.6163
1986,7,1,69.2884
1986,8,1,58.8968
1986,9,1,121.644
1986,10,1,164.535
1986,11,1,107.926
1986,12,1,106.54
1987,1,1,101.149
1987,2,1,112.136
1987,3,1,167.476
1987,4,1,76.267
1987,5,1,58.7297
1987,6,1,54.2587
1987,7,1,34.1197
1987,8,1,21.3984
1987,9,1,31.0083
1987,10,1,43.7781
1987,11,1,63.5267
1987,12,1,69.6416
1988,1,1,62.2303
1988,2,1,50.7876
1988,3,1,138.945
1988,4,1,67.0527
1988,5,1,31.8342
1988,6,1,13.1877
1988,7,1,0.0496774
1988,8,1,0.607419
1988,9,1,9.113
1988,10,1,20.0597
1988,11,1,116.013
1988,12,1,98.2274
1989,1,1,49.2665
1989,2,1,42.8882
1989,3,1,320.574
1989,4,1,260.022
1989,5,1,59.8306
1989,6,1,14.002
1989,7,1,1.50323
1989,8,1,3.14419
1989,9,1,20.6403
1989,10,1,37.2881
1989,11,1,51.727
1989,12,1,49.1106
1990,1,1,54.9177
1990,2,1,44.5789
1990,3,1,55.6819
1990,4,1,20.142
1990,5,1,12.1087
1990,6,1,19.7283
1990,7,1,0.325806
1990,8,1,3.3971
1990,9,1,2.626
1990,10,1,14.4587
1990,11,1,31.0673
1990,12,1,33.4339
1991,1,1,45.3981
1991,2,1,23.3082
1991,3,1,107.606
1991,4,1,73.022
1991,5,1,47.9077
1991,6,1,5.70033
1991,7,1,0.708387
1991,8,1,0.0377419
1991,9,1,0.0486667
1991,10,1,7.48613
1991,11,1,27.777
1991,12,1,28.3758
1992,1,1,22.0629
1992,2,1,56.631
1992,3,1,102.14
1992,4,1,9.42067
1992,5,1,0.295484
1992,6,1,1.38933
1992,7,1,1.37258
1992,8,1,0
1992,9,1,0.147
1992,10,1,4.26226
1992,11,1,85.2167
1992,12,1,77.6806
1993,1,1,31.4248
1993,2,1,23.1857
1993,3,1,497.107
1993,4,1,1085.7
1993,5,1,267.545
1993,6,1,215.446
1993,7,1,58.4958
1993,8,1,55.8971
1993,9,1,58.3697
1993,10,1,82.5639
1993,11,1,88.3747
1993,12,1,97.4365
1994,1,1,90.1148
1994,2,1,81.5832
1994,3,1,113.592
1994,4,1,57.949
1994,5,1,45.8516
1994,6,1,24.1893
1994,7,1,3.64903
1994,8,1,10.3252
1994,9,1,23.423
1994,10,1,44.1484
1994,11,1,58.054
1994,12,1,56.2416
1995,1,1,175.283
1995,2,1,332.791
1995,3,1,1441.93
1995,4,1,380.238
1995,5,1,170.203
1995,6,1,108.471
1995,7,1,64.1652
1995,8,1,51.6726
1995,9,1,65.989
1995,10,1,87.1523
1995,11,1,97.1793
1995,12,1,364.629
1996,1,1,391.153
1996,2,1,636.428
1996,3,1,343.921
1996,4,1,776.621
1996,5,1,261.24
1996,6,1,123.8
1996,7,1,86.4494
1996,8,1,76.2029
1996,9,1,87.568
1996,10,1,101.222
1996,11,1,139.237
1996,12,1,383.459
1997,1,1,1514.97
1997,2,1,394.088
1997,3,1,172.849
1997,4,1,154.492
1997,5,1,125.88
1997,6,1,107.203
1997,7,1,75.8568
1997,8,1,73.2226
1997,9,1,90.615
1997,10,1,100.975
1997,11,1,132.522
1997,12,1,127.515
1998,1,1,216.81
1998,2,1,437.429
1998,3,1,826.597
1998,4,1,819.485
1998,5,1,161.498
1998,6,1,169.438
1998,7,1,96.0684
1998,8,1,88.84
1998,9,1,95.9153
1998,10,1,106.335
1998,11,1,246.441
1998,12,1,254.032
1999,1,1,269.605
1999,2,1,147.958
1999,3,1,117.365
1999,4,1,255.757
1999,5,1,308.017
1999,6,1,87.482
1999,7,1,39.7313
1999,8,1,46.4735
1999,9,1,52.134
