year,mo,dy,flow_cfs
1970,1,1,2439.5
1970,1,2,3746.27
1970,1,3,4283.03
1970,1,4,4343.24
1970,1,5,4128.85
1970,1,6,3772.25
1970,1,7,3356.11
1970,1,8,2932.77
1970,1,9,2531.74
1970,1,10,2167.19
1970,1,11,1844.89
1970,1,12,1563.63
1970,1,13,1322.91
1970,1,14,1124.41
1970,1,15,965.31
1970,1,16,831.99
1970,1,17,730.64
1970,1,18,779.3
1970,1,19,898.34
1970,1,20,995.49
1970,1,21,1046.55
1970,1,22,1202.44
1970,1,23,1512.41
1970,1,24,1821.38
1970,1,25,2007.06
1970,1,26,2076.21
1970,1,27,2066.59
1970,1,28,2027.92
1970,1,29,1956.55
1970,1,30,1856.04
1970,1,31,1744.13
1970,2,1,1631.99
1970,2,2,1525.58
1970,2,3,1428.29
1970,2,4,1342.02
1970,2,5,1265.89
1970,2,6,1199.51
1970,2,7,1141.51
1970,2,8,1091.39
1970,2,9,1047.57
1970,2,10,1010.93
1970,2,11,998.16
1970,2,12,1019.6
1970,2,13,1050.67
1970,2,14,1076.33
1970,2,15,1081.95
1970,2,16,1073.82
1970,2,17,1055.85
1970,2,18,1036.3
1970,2,19,1012.56
1970,2,20,985.41
1970,2,21,959.61
1970,2,22,934.04
1970,2,23,911.14
1970,2,24,889.48
1970,2,25,867.72
1970,2,26,848.97
1970,2,27,831.79
1970,2,28,841.44
1970,3,1,922.47
1970,3,2,986.2
1970,3,3,1020.24
1970,3,4,1029.4
1970,3,5,1019.98
1970,3,6,999.63
1970,3,7,1015.09
1970,3,8,1099.05
1970,3,9,1157.29
1970,3,10,1181.69
1970,3,11,1179.66
1970,3,12,1198.97
1970,3,13,1307.25
1970,3,14,1464.05
1970,3,15,1631.55
1970,3,16,1726.14
1970,3,17,1755.89
1970,3,18,1739.09
1970,3,19,1686.4
1970,3,20,1617.48
1970,3,21,1538.57
1970,3,22,1461.79
1970,3,23,1387.52
1970,3,24,1315.08
1970,3,25,1253.34
1970,3,26,1200.38
1970,3,27,1152.88
1970,3,28,1110.3
1970,3,29,1076.18
1970,3,30,1046.39
1970,3,31,1017.87
1970,4,1,990.78
1970,4,2,967.74
1970,4,3,945.34
1970,4,4,925.1
1970,4,5,907.11
1970,4,6,891.02
1970,4,7,878.04
1970,4,8,864.22
1970,4,9,851.32
1970,4,10,841.82
1970,4,11,834.88
1970,4,12,822.76
1970,4,13,819.02
1970,4,14,813.08
1970,4,15,802.91
1970,4,16,792.68
1970,4,17,781.17
1970,4,18,769.85
1970,4,19,765.19
1970,4,20,757.79
1970,4,21,746.79
1970,4,22,734.84
1970,4,23,725.65
1970,4,24,719.5
1970,4,25,712.18
1970,4,26,707.72
1970,4,27,700.75
1970,4,28,692.17
1970,4,29,682.12
1970,4,30,670.92
1970,5,1,661.81
1970,5,2,653.62
1970,5,3,645.4
1970,5,4,637.13
1970,5,5,629.05
1970,5,6,621.58
1970,5,7,613.78
1970,5,8,606.99
1970,5,9,603.88
1970,5,10,599.78
1970,5,11,597.43
1970,5,12,591.07
1970,5,13,584.27
1970,5,14,577.72
1970,5,15,573.58
1970,5,16,570.1
1970,5,17,564.77
1970,5,18,558.27
1970,5,19,551.05
1970,5,20,543.45
1970,5,21,534.78
1970,5,22,526.67
1970,5,23,518.55
1970,5,24,510.39
1970,5,25,501.27
1970,5,26,493.6
1970,5,27,486.31
1970,5,28,480.21
1970,5,29,474.07
1970,5,30,467.61
1970,5,31,459.54
1970,6,1,452.61
1970,6,2,445.86
1970,6,3,439.76
1970,6,4,433.56
1970,6,5,428.09
1970,6,6,423.17
1970,6,7,418.53
1970,6,8,414.86
1970,6,9,411.95
1970,6,10,409.55
1970,6,11,406.79
1970,6,12,403.59
1970,6,13,400.82
1970,6,14,397.26
1970,6,15,395.37
1970,6,16,392.78
1970,6,17,389.13
1970,6,18,384.51
1970,6,19,379.13
1970,6,20,372.35
1970,6,21,366.67
1970,6,22,360.68
1970,6,23,354.8
1970,6,24,348.91
1970,6,25,343.13
1970,6,26,338.36
1970,6,27,335.09
1970,6,28,332.51
1970,6,29,329.2
1970,6,30,324.73
1970,7,1,320.06
1970,7,2,314.82
1970,7,3,309.74
1970,7,4,304.79
1970,7,5,300.14
1970,7,6,295.34
1970,7,7,291.3
1970,7,8,285.87
1970,7,9,281.65
1970,7,10,277.67
1970,7,11,273.93
1970,7,12,269.97
1970,7,13,264.12
1970,7,14,258.34
1970,7,15,253.08
1970,7,16,251.6
1970,7,17,247.41
1970,7,18,245.1
1970,7,19,242.77
1970,7,20,238.84
1970,7,21,236.79
1970,7,22,233.86
1970,7,23,231.72
1970,7,24,229.27
1970,7,25,226.32
