year,mo,dy,flow_cfs
1979,10,1,1181.87
1979,11,1,308.301
1979,12,1,331.895
1980,1,1,979.219
1980,2,1,806.095
1980,3,1,729.695
1980,4,1,548.835
1980,5,1,354.172
1980,6,1,238.799
1980,7,1,150.837
1980,8,1,95.2339
1980,9,1,76.6333
1980,10,1,59.5432
1980,11,1,81.9083
1980,12,1,235.206
1981,1,1,334.574
1981,2,1,363.895
1981,3,1,332.031
1981,4,1,218.279
1981,5,1,138.155
1981,6,1,93.6167
1981,7,1,42.9829
1981,8,1,19.6371
1981,9,1,15.8567
1981,10,1,52.1519
1981,11,1,114.006
1981,12,1,1195.03
1982,1,1,562.351
1982,2,1,2447.29
1982,3,1,1672.46
1982,4,1,1581.07
1982,5,1,2342.83
1982,6,1,1326.2
1982,7,1,968.501
1982,8,1,715.389
1982,9,1,603.096
1982,10,1,522.761
1982,11,1,491.599
1982,12,1,966.079
1983,1,1,926.214
1983,2,1,1280.91
1983,3,1,2684.45
1983,4,1,1833.02
1983,5,1,1786.98
1983,6,1,1215.42
1983,7,1,875.378
1983,8,1,644.154
1983,9,1,529.38
1983,10,1,450.488
1983,11,1,666.514
1983,12,1,902.807
1984,1,1,904.161
1984,2,1,1149.84
1984,3,1,1313.43
1984,4,1,2559.69
1984,5,1,2487.81
1984,6,1,1496.85
1984,7,1,1033.1
1984,8,1,785.486
1984,9,1,646.666
1984,10,1,552.561
1984,11,1,934.988
1984,12,1,474.125
1985,1,1,389.235
1985,2,1,339.52
1985,3,1,340.015
1985,4,1,1312.01
1985,5,1,1042.65
1985,6,1,680.083
1985,7,1,470.998
1985,8,1,376.782
1985,9,1,348.807
1985,10,1,300.038
1985,11,1,286.558
1985,12,1,244.091
1986,1,1,378.695
1986,2,1,729.73
1986,3,1,2270.09
1986,4,1,1540.35
1986,5,1,1020.24
1986,6,1,679.859
1986,7,1,477.57
1986,8,1,328.619
1986,9,1,314.058
1986,10,1,285.955
1986,11,1,254.094
1986,12,1,250.191
1987,1,1,185.004
1987,2,1,210.547
1987,3,1,565.869
1987,4,1,863.344
1987,5,1,525.915
1987,6,1,354.371
1987,7,1,278.064
1987,8,1,185.253
1987,9,1,137.418
1987,10,1,130.601
1987,11,1,155.104
1987,12,1,460.105
1988,1,1,370.683
1988,2,1,578.299
1988,3,1,897.115
1988,4,1,835.388
1988,5,1,711.977
1988,6,1,463.678
1988,7,1,286.119
1988,8,1,197.71
1988,9,1,152.327
1988,10,1,128.555
1988,11,1,241.509
1988,12,1,190.204
1989,1,1,161.337
1989,2,1,146.159
1989,3,1,2013.67
1989,4,1,2041.56
1989,5,1,1221.09
1989,6,1,807.26
1989,7,1,545.665
1989,8,1,414.095
1989,9,1,332.178
1989,10,1,285.123
1989,11,1,254.849
1989,12,1,238.153
1990,1,1,257.316
1990,2,1,196.974
1990,3,1,401.201
1990,4,1,369.76
1990,5,1,248.318
1990,6,1,172.455
1990,7,1,80.2748
1990,8,1,68.5394
1990,9,1,54.6783
1990,10,1,94.3958
1990,11,1,118.788
1990,12,1,136.032
1991,1,1,182.064
1991,2,1,133.68
1991,3,1,142.151
1991,4,1,487.894
1991,5,1,536.791
1991,6,1,308.79
1991,7,1,197.649
1991,8,1,131.693
1991,9,1,89.7453
1991,10,1,99.4471
1991,11,1,212.996
1991,12,1,472.632
1992,1,1,281.324
1992,2,1,394.652
1992,3,1,526.361
1992,4,1,507.406
1992,5,1,384.486
1992,6,1,254.923
1992,7,1,173.647
1992,8,1,110.724
1992,9,1,90.4847
1992,10,1,81.1016
1992,11,1,177.695
1992,12,1,115.333
1993,1,1,87.7955
1993,2,1,64.0207
1993,3,1,1533.7
1993,4,1,2003.41
1993,5,1,1846.16
1993,6,1,1206.37
1993,7,1,807.012
1993,8,1,594.602
1993,9,1,428.057
1993,10,1,370.718
1993,11,1,302.416
1993,12,1,257.138
1994,1,1,245.246
1994,2,1,191.779
1994,3,1,312.703
1994,4,1,443.554
1994,5,1,349.761
1994,6,1,208.584
1994,7,1,111.944
1994,8,1,68.5306
1994,9,1,82.4193
1994,10,1,101.995
1994,11,1,139.023
1994,12,1,167.223
1995,1,1,274.582
1995,2,1,895.669
1995,3,1,1387.06
1995,4,1,1224.26
1995,5,1,1328.57
1995,6,1,772.884
1995,7,1,523.567
1995,8,1,360.247
1995,9,1,269.924
1995,10,1,247.602
1995,11,1,255.586
1995,12,1,1325.48
1996,1,1,1226.27
1996,2,1,2080.21
1996,3,1,1369.7
1996,4,1,1180.22
1996,5,1,1105.93
1996,6,1,686.967
1996,7,1,471.173
1996,8,1,361.47
1996,9,1,294.249
1996,10,1,271.68
1996,11,1,615.288
1996,12,1,895.065
1997,1,1,3198.97
1997,2,1,2266.02
1997,3,1,2003.1
1997,4,1,2296.48
1997,5,1,1760.91
1997,6,1,1173.24
1997,7,1,861.41
1997,8,1,666.986
1997,9,1,565.076
1997,10,1,509.6
1997,11,1,502.271
1997,12,1,461.267
1998,1,1,588.57
1998,2,1,599.887
1998,3,1,1172.36
1998,4,1,1395.06
1998,5,1,1169.24
1998,6,1,842.972
1998,7,1,575.897
1998,8,1,436.649
1998,9,1,365.57
1998,10,1,345.077
1998,11,1,425.476
1998,12,1,572.132
1999,1,1,1200.48
1999,2,1,694.541
1999,3,1,1822.67
1999,4,1,2073.64
1999,5,1,2488.04
1999,6,1,1760.82
1999,7,1,1112.05
1999,8,1,857.255
1999,9,1,634.532
1999,10,1,530.718
1999,11,1,560.934
1999,12,1,459.474
2000,1,1,370.303
2000,2,1,362.459
2000,3,1,328.833
2000,4,1,1680.79
2000,5,1,1192.55
2000,6,1,766.591
