year,mo,dy,flow_cfs
1979,10,1,988.972
1979,11,1,186.265
1979,12,1,249.511
1980,1,1,361.551
1980,2,1,421.676
1980,3,1,446.708
1980,4,1,400.277
1980,5,1,308.928
1980,6,1,280.714
1980,7,1,248.694
1980,8,1,228.74
1980,9,1,222.032
1980,10,1,216.294
1980,11,1,276.703
1980,12,1,406.855
1981,1,1,357.555
1981,2,1,419.406
1981,3,1,342.645
1981,4,1,395.235
1981,5,1,294.136
1981,6,1,276.286
1981,7,1,235.981
1981,8,1,216.859
1981,9,1,211.4
1981,10,1,271.257
1981,11,1,410.702
1981,12,1,730.237
1982,1,1,460.555
1982,2,1,736.387
1982,3,1,870.271
1982,4,1,777.498
1982,5,1,552.77
1982,6,1,445.399
1982,7,1,393.132
1982,8,1,350.454
1982,9,1,327.611
1982,10,1,312.129
1982,11,1,438.629
1982,12,1,377.776
1983,1,1,513.04
1983,2,1,649.35
1983,3,1,871.764
1983,4,1,864.335
1983,5,1,569.579
1983,6,1,441.625
1983,7,1,391.333
1983,8,1,358.471
1983,9,1,333.369
1983,10,1,305.315
1983,11,1,507.087
1983,12,1,412.075
1984,1,1,387.237
1984,2,1,662.96
1984,3,1,738.015
1984,4,1,755.346
1984,5,1,493.742
1984,6,1,444.954
1984,7,1,366.653
1984,8,1,332.56
1984,9,1,319.414
1984,10,1,316.307
1984,11,1,723.551
1984,12,1,428.34
1985,1,1,376.556
1985,2,1,348.389
1985,3,1,517.375
1985,4,1,711.332
1985,5,1,410.61
1985,6,1,362.237
1985,7,1,319.737
1985,8,1,296.017
1985,9,1,284.207
1985,10,1,343.747
1985,11,1,330.232
1985,12,1,280.446
1986,1,1,423.783
1986,2,1,532.989
1986,3,1,915.914
1986,4,1,521.085
1986,5,1,524.343
1986,6,1,402.408
1986,7,1,356.248
1986,8,1,318.447
1986,9,1,324.791
1986,10,1,342.264
1986,11,1,410.476
1986,12,1,369.238
1987,1,1,298.68
1987,2,1,385.165
1987,3,1,449.446
1987,4,1,572.189
1987,5,1,360.724
1987,6,1,324.071
1987,7,1,381.388
1987,8,1,312.058
1987,9,1,280.603
1987,10,1,263.609
1987,11,1,297.866
1987,12,1,306.598
1988,1,1,251.23
1988,2,1,390.449
1988,3,1,619.245
1988,4,1,461.68
1988,5,1,359.1
1988,6,1,363.357
1988,7,1,287.809
1988,8,1,266.535
1988,9,1,251.913
1988,10,1,236.176
1988,11,1,317.977
1988,12,1,286.613
1989,1,1,313.88
1989,2,1,268.19
1989,3,1,732.873
1989,4,1,875.57
1989,5,1,526.71
1989,6,1,439.051
1989,7,1,374.309
1989,8,1,338.082
1989,9,1,319.161
1989,10,1,323.558
1989,11,1,353.825
1989,12,1,461.497
1990,1,1,505.001
1990,2,1,380.502
1990,3,1,625.005
1990,4,1,449.349
1990,5,1,440.149
1990,6,1,437.936
1990,7,1,326.775
1990,8,1,300.419
1990,9,1,278.408
1990,10,1,267.396
1990,11,1,298.461
1990,12,1,296.302
1991,1,1,429.718
1991,2,1,424.174
1991,3,1,382.046
1991,4,1,552.851
1991,5,1,405.59
1991,6,1,324.895
1991,7,1,287.34
1991,8,1,266.423
1991,9,1,247.826
1991,10,1,269.807
1991,11,1,325.193
1991,12,1,382.384
1992,1,1,283.739
1992,2,1,395.683
1992,3,1,339.839
1992,4,1,302.257
1992,5,1,252.164
1992,6,1,227.051
1992,7,1,210.188
1992,8,1,189.476
1992,9,1,181.674
1992,10,1,175.186
1992,11,1,392.858
1992,12,1,261.745
1993,1,1,240.772
1993,2,1,221.79
1993,3,1,774.942
1993,4,1,884.381
1993,5,1,637.385
1993,6,1,513.08
1993,7,1,405.41
1993,8,1,362.046
1993,9,1,327.608
1993,10,1,310.29
1993,11,1,288.71
1993,12,1,269.906
1994,1,1,346.882
1994,2,1,290.019
1994,3,1,562.303
1994,4,1,389.615
1994,5,1,317.163
1994,6,1,281.032
1994,7,1,251.156
1994,8,1,232.929
1994,9,1,223.756
1994,10,1,247.895
1994,11,1,267.969
1994,12,1,233.637
1995,1,1,531.936
1995,2,1,918.621
1995,3,1,850.509
1995,4,1,705.728
1995,5,1,605.334
1995,6,1,514.643
1995,7,1,421.57
1995,8,1,371.567
1995,9,1,337.52
1995,10,1,324.815
1995,11,1,454.62
1995,12,1,806.792
1996,1,1,720.23
1996,2,1,1225.71
1996,3,1,863.996
1996,4,1,1106.26
1996,5,1,818.686
1996,6,1,589.002
1996,7,1,506.059
1996,8,1,429.421
1996,9,1,419.626
1996,10,1,397.171
1996,11,1,685.878
1996,12,1,897.799
1997,1,1,1676.04
1997,2,1,1362.47
1997,3,1,1249.54
1997,4,1,919.321
1997,5,1,687.597
1997,6,1,570.445
1997,7,1,523.466
1997,8,1,435.163
1997,9,1,413.211
1997,10,1,448.025
1997,11,1,594.018
1997,12,1,477.131
1998,1,1,765.22
1998,2,1,634.05
1998,3,1,954.844
1998,4,1,747.739
1998,5,1,554.599
1998,6,1,481.679
1998,7,1,405.867
1998,8,1,359.366
1998,9,1,329.035
1998,10,1,311.395
1998,11,1,452.911
1998,12,1,404.233
1999,1,1,564.12
1999,2,1,386.478
1999,3,1,552.554
1999,4,1,900.16
1999,5,1,850.719
1999,6,1,515.639
1999,7,1,438.382
1999,8,1,391.951
1999,9,1,350.695
1999,10,1,329.551
1999,11,1,361.457
1999,12,1,344.959
2000,1,1,300.113
2000,2,1,444.81
2000,3,1,535.541
2000,4,1,629.919
2000,5,1,440.103
2000,6,1,348.699
2000,7,1,313.465
2000,8,1,284.205
2000,9,1,268.363
2000,10,1,259.089
2000,11,1,255.933
2000,12,1,242.506
2001,1,1,233.845
2001,2,1,206.719
2001,3,1,337.527
2001,4,1,316.77
2001,5,1,244.531
2001,6,1,213.049
2001,7,1,191.713
2001,8,1,176.166
2001,9,1,167.716
2001,10,1,166.036
2001,11,1,194.499
2001,12,1,173.64
2002,1,1,326.051
2002,2,1,280.506
2002,3,1,519.312
2002,4,1,571.584
2002,5,1,342.59
2002,6,1,301.562
2002,7,1,273.488
2002,8,1,253.175
2002,9,1,238.988
2002,10,1,226.206
2002,11,1,303.69
2002,12,1,248.072
2003,1,1,565.849
2003,2,1,539.24
2003,3,1,562.112
2003,4,1,565.207
2003,5,1,397.107
2003,6,1,329.584
2003,7,1,296.633
2003,8,1,276.112
2003,9,1,271.039
2003,10,1,248.095
2003,11,1,269.652
2003,12,1,413.47
2004,1,1,333.074
2004,2,1,400.688
2004,3,1,686.844
2004,4,1,512.733
2004,5,1,432.383
2004,6,1,364.898
2004,7,1,318.421
2004,8,1,309.739
2004,9,1,307.511
2004,10,1,327.419
2004,11,1,329.138
2004,12,1,364.929
2005,1,1,339.737
2005,2,1,393.503
2005,3,1,378.843
2005,4,1,428.081
2005,5,1,344.895
2005,6,1,281.169
2005,7,1,245.815
2005,8,1,226.752
2005,9,1,219.515
2005,10,1,207.718
2005,11,1,360.65
2005,12,1,450.235
2006,1,1,670.886
2006,2,1,774.049
2006,3,1,601.767
2006,4,1,1067.54
2006,5,1,547.704
2006,6,1,476.107
2006,7,1,403.459
2006,8,1,357.555
2006,9,1,328.422
2006,10,1,321.597
2006,11,1,575.053
2006,12,1,617.718
2007,1,1,620.086
2007,2,1,617.419
2007,3,1,698.211
2007,4,1,505.742
2007,5,1,425.099
2007,6,1,369.058
2007,7,1,333.121
2007,8,1,300.164
2007,9,1,281.843
2007,10,1,378.49
2007,11,1,410.677
2007,12,1,490.847
2008,1,1,461.89
2008,2,1,457.934
2008,3,1,840.275
2008,4,1,646.947
2008,5,1,501.135
2008,6,1,501.716
2008,7,1,366.57
2008,8,1,328.934
2008,9,1,302.111
2008,10,1,375.921
2008,11,1,514.032
2008,12,1,342.835
2009,1,1,502.166
2009,2,1,563.071
2009,3,1,819.151
2009,4,1,644.525
2009,5,1,528.725
2009,6,1,425.122
2009,7,1,355.739
2009,8,1,322.403
2009,9,1,297.881
