year,mo,dy,flow_cfs
1979,10,1,2170.842
1979,11,1,494.566
1979,12,1,581.406
1980,1,1,1340.77
1980,2,1,1227.771
1980,3,1,1176.403
1980,4,1,949.112
1980,5,1,663.1
1980,6,1,519.513
1980,7,1,399.531
1980,8,1,323.9739
1980,9,1,298.6653
1980,10,1,275.8372
1980,11,1,358.6113
1980,12,1,642.061
1981,1,1,692.129
1981,2,1,783.301
1981,3,1,674.676
1981,4,1,613.514
1981,5,1,432.291
1981,6,1,369.9027
1981,7,1,278.9639
1981,8,1,236.4961
1981,9,1,227.2567
1981,10,1,323.4089
1981,11,1,524.708
1981,12,1,1925.267
1982,1,1,1022.906
1982,2,1,3183.677
1982,3,1,2542.731
1982,4,1,2358.568
1982,5,1,2895.6
1982,6,1,1771.599
1982,7,1,1361.633
1982,8,1,1065.843
1982,9,1,930.707
1982,10,1,834.89
1982,11,1,930.228
1982,12,1,1343.855
1983,1,1,1439.254
1983,2,1,1930.26
1983,3,1,3556.214
1983,4,1,2697.355
1983,5,1,2356.559
1983,6,1,1657.045
1983,7,1,1266.711
1983,8,1,1002.625
1983,9,1,862.749
1983,10,1,755.803
1983,11,1,1173.601
1983,12,1,1314.882
1984,1,1,1291.398
1984,2,1,1812.8
1984,3,1,2051.445
1984,4,1,3315.036
1984,5,1,2981.552
1984,6,1,1941.804
1984,7,1,1399.753
1984,8,1,1118.046
1984,9,1,966.08
1984,10,1,868.868
1984,11,1,1658.539
1984,12,1,902.465
1985,1,1,765.791
1985,2,1,687.909
1985,3,1,857.39
1985,4,1,2023.342
1985,5,1,1453.26
1985,6,1,1042.32
1985,7,1,790.735
1985,8,1,672.799
1985,9,1,633.014
1985,10,1,643.785
1985,11,1,616.79
1985,12,1,524.537
1986,1,1,802.478
1986,2,1,1262.719
1986,3,1,3186.004
1986,4,1,2061.435
1986,5,1,1544.583
1986,6,1,1082.267
1986,7,1,833.818
1986,8,1,647.066
1986,9,1,638.849
1986,10,1,628.219
1986,11,1,664.57
1986,12,1,619.429
1987,1,1,483.684
1987,2,1,595.712
1987,3,1,1015.315
1987,4,1,1435.533
1987,5,1,886.639
1987,6,1,678.442
1987,7,1,659.452
1987,8,1,497.311
1987,9,1,418.021
1987,10,1,394.21
1987,11,1,452.97
1987,12,1,766.703
1988,1,1,621.913
1988,2,1,968.748
1988,3,1,1516.36
1988,4,1,1297.068
1988,5,1,1071.077
1988,6,1,827.035
1988,7,1,573.928
1988,8,1,464.245
1988,9,1,404.24
1988,10,1,364.731
1988,11,1,559.486
1988,12,1,476.817
1989,1,1,475.217
1989,2,1,414.349
1989,3,1,2746.543
1989,4,1,2917.13
1989,5,1,1747.8
1989,6,1,1246.311
1989,7,1,919.974
1989,8,1,752.177
1989,9,1,651.339
1989,10,1,608.681
1989,11,1,608.674
1989,12,1,699.65
1990,1,1,762.317
1990,2,1,577.476
1990,3,1,1026.206
1990,4,1,819.109
1990,5,1,688.467
1990,6,1,610.391
1990,7,1,407.0498
1990,8,1,368.9584
1990,9,1,333.0863
1990,10,1,361.7918
1990,11,1,417.249
1990,12,1,432.334
1991,1,1,611.782
1991,2,1,557.854
1991,3,1,524.197
1991,4,1,1040.745
1991,5,1,942.381
1991,6,1,633.685
1991,7,1,484.989
1991,8,1,398.116
1991,9,1,337.5713
1991,10,1,369.2541
1991,11,1,538.189
1991,12,1,855.016
1992,1,1,565.063
1992,2,1,790.335
1992,3,1,866.2
1992,4,1,809.663
1992,5,1,636.65
1992,6,1,481.974
1992,7,1,383.835
1992,8,1,300.2
1992,9,1,272.1587
1992,10,1,256.2876
1992,11,1,570.553
1992,12,1,377.078
1993,1,1,328.5675
1993,2,1,285.8107
1993,3,1,2308.642
1993,4,1,2887.791
1993,5,1,2483.545
1993,6,1,1719.45
1993,7,1,1212.422
1993,8,1,956.648
1993,9,1,755.665
1993,10,1,681.008
1993,11,1,591.126
1993,12,1,527.044
1994,1,1,592.128
1994,2,1,481.798
1994,3,1,875.006
1994,4,1,833.169
1994,5,1,666.924
1994,6,1,489.616
1994,7,1,363.1
1994,8,1,301.4596
1994,9,1,306.1753
1994,10,1,349.89
1994,11,1,406.992
1994,12,1,400.86
1995,1,1,806.518
1995,2,1,1814.29
1995,3,1,2237.569
1995,4,1,1929.988
1995,5,1,1933.904
1995,6,1,1287.527
1995,7,1,945.137
1995,8,1,731.814
1995,9,1,607.444
1995,10,1,572.417
1995,11,1,710.206
1995,12,1,2132.272
1996,1,1,1946.5
1996,2,1,3305.92
1996,3,1,2233.696
1996,4,1,2286.48
1996,5,1,1924.616
1996,6,1,1275.969
1996,7,1,977.232
1996,8,1,790.891
1996,9,1,713.875
1996,10,1,668.851
1996,11,1,1301.166
1996,12,1,1792.864
1997,1,1,4875.01
1997,2,1,3628.49
1997,3,1,3252.64
1997,4,1,3215.801
1997,5,1,2448.507
1997,6,1,1743.685
1997,7,1,1384.876
1997,8,1,1102.149
1997,9,1,978.287
1997,10,1,957.625
1997,11,1,1096.289
1997,12,1,938.398
1998,1,1,1353.79
1998,2,1,1233.937
1998,3,1,2127.204
1998,4,1,2142.799
1998,5,1,1723.839
1998,6,1,1324.651
1998,7,1,981.764
1998,8,1,796.015
1998,9,1,694.605
1998,10,1,656.472
1998,11,1,878.387
1998,12,1,976.365
1999,1,1,1764.6
1999,2,1,1081.019
1999,3,1,2375.224
1999,4,1,2973.8
1999,5,1,3338.759
1999,6,1,2276.459
1999,7,1,1550.432
1999,8,1,1249.206
1999,9,1,985.227
1999,10,1,860.269
1999,11,1,922.391
1999,12,1,804.433
2000,1,1,670.416
2000,2,1,807.269
2000,3,1,864.374
2000,4,1,2310.709
2000,5,1,1632.653
2000,6,1,1115.29
2000,7,1,854.67
2000,8,1,664.266
2000,9,1,592.863
2000,10,1,556.082
2000,11,1,532.591
2000,12,1,476.225
2001,1,1,433.476
2001,2,1,384.941
2001,3,1,557.201
2001,4,1,930.647
2001,5,1,659.69
2001,6,1,484.202
2001,7,1,366.133
2001,8,1,288.482
2001,9,1,268.67
2001,10,1,280.842
2001,11,1,341.137
2001,12,1,305.703
2002,1,1,483.827
2002,2,1,521.608
2002,3,1,1152.057
2002,4,1,2083.284
2002,5,1,1173.832
2002,6,1,836.711
2002,7,1,629.064
2002,8,1,505.734
2002,9,1,433.948
2002,10,1,399.619
2002,11,1,473.294
2002,12,1,400.256
2003,1,1,907.711
2003,2,1,1328.404
2003,3,1,1530.113
2003,4,1,1703.167
2003,5,1,1076.601
2003,6,1,763.961
2003,7,1,585.327
2003,8,1,478.357
2003,9,1,429.334
2003,10,1,386.735
2003,11,1,414.011
2003,12,1,775.446
2004,1,1,539.014
2004,2,1,615.409
2004,3,1,1766.554
2004,4,1,2169.273
2004,5,1,2068.083
2004,6,1,1372.788
2004,7,1,995.853
2004,8,1,820.482
2004,9,1,702.452
2004,10,1,655.186
2004,11,1,642.594
2004,12,1,862.117
2005,1,1,671.979
2005,2,1,825.672
2005,3,1,735.895
2005,4,1,822.218
2005,5,1,763.479
2005,6,1,584.276
2005,7,1,408.901
2005,8,1,329.366
2005,9,1,337.195
2005,10,1,338.654
2005,11,1,508.12
2005,12,1,769.247
2006,1,1,1861.216
2006,2,1,1345.189
2006,3,1,1229.44
2006,4,1,2843.52
2006,5,1,2983.974
2006,6,1,1818.207
2006,7,1,1314.9
2006,8,1,1007.482
2006,9,1,830.905
2006,10,1,732.911
2006,11,1,1046.552
2006,12,1,1436.536
2007,1,1,2083.796
2007,2,1,1983.369
2007,3,1,2976.851
2007,4,1,2055.612
2007,5,1,1435.539
2007,6,1,1098.143
2007,7,1,855.305
2007,8,1,690.533
2007,9,1,617.682
2007,10,1,760.553
2007,11,1,859.357
2007,12,1,837.179
2008,1,1,737.848
2008,2,1,708.982
2008,3,1,1461.805
2008,4,1,1510.662
2008,5,1,1771.775
2008,6,1,1337.89
2008,7,1,912.835
2008,8,1,729.054
2008,9,1,609.953
2008,10,1,670.228
2008,11,1,968.213
2008,12,1,730.213
2009,1,1,844.782
2009,2,1,912.437
2009,3,1,1500.718
2009,4,1,1719.325
2009,5,1,1301.758
2009,6,1,952.297
2009,7,1,663.617
2009,8,1,546.225
2009,9,1,469.571
